+0.01032704+0.00000000i, -0.00159387+0.00263839i, -0.00011541+0.00075286i, +0.00553556-0.00430126i, -0.00560987-0.00403835i, -0.00105481-0.00141764i, +0.00275351+0.00120234i, +0.00674603-0.00006663i, +0.00091146-0.00361538i, -0.00128792+0.00075976i, -0.00059128-0.00215000i, -0.00260546-0.00192597i, +0.00216608-0.00514520i, +0.00279251+0.00034779i, -0.00003447+0.00097701i, +0.00116894+0.00527326i, -0.00449510-0.00760489i, +0.00276180-0.00222551i, +0.00010250-0.00143461i, -0.00714339-0.00322769i, -0.00294770+0.00740949i, -0.00016661+0.00032532i, +0.00023186-0.00332042i, -0.00326308-0.00734160i, -0.00039657+0.00174770i, -0.00368744-0.00023045i, -0.00185841+0.00020508i, -0.00092073+0.00131199i, -0.00059762-0.00204182i, +0.00251739+0.00209125i, -0.00130425-0.00074452i, +0.00040774+0.00079457i, +0.00312822+0.00214474i, -0.00174077-0.00251369i, +0.00037513-0.00243767i, +0.00238058-0.00244005i, -0.00371802-0.00142737i, +0.00090061-0.00451301i, +0.00039859+0.00318544i, +0.00453679-0.00026720i, +0.00393194-0.00642630i, +0.00053949+0.00442374i, -0.00002387+0.00154751i, -0.00143882-0.00608064i, +0.00522997-0.00341760i, +0.00421659-0.00077704i, -0.00496580+0.00264213i, -0.00294036+0.00754590i, -0.00069238+0.00553146i, -0.00109466-0.00233548i, +0.00179222-0.00209598i, +0.00127413+0.00311464i, +0.00265862-0.00234757i, +0.00106423-0.00114847i, -0.00277551+0.00092747i, -0.00075321+0.00301068i, +0.00303241+0.00066932i, -0.00096240+0.00207132i, -0.00198539+0.00056864i, +0.00190724-0.00026148i, -0.00001671+0.00274898i, +0.00134988-0.00083446i, -0.00200508-0.00092416i, -0.00113023-0.00112153i
-0.00159387-0.00263839i, +0.00704710+0.00000000i, +0.00230175+0.00015345i, -0.00126185-0.00142524i, +0.00074361+0.00111558i, +0.00088167+0.00136245i, -0.00096368-0.00146129i, -0.00161838-0.00109567i, +0.00003543+0.00182188i, +0.00018056-0.00109874i, -0.00016307+0.00099666i, +0.00223826+0.00111828i, -0.00120067+0.00301989i, -0.00110793-0.00047755i, +0.00028566-0.00083333i, -0.00095236-0.00371219i, +0.00100993+0.00278753i, -0.00219445-0.00065509i, -0.00029193+0.00039150i, +0.00269680+0.00204272i, +0.00174355-0.00216173i, -0.00033355+0.00138784i, -0.00073715+0.00114039i, +0.00077936+0.00330951i, +0.00051908-0.00126432i, +0.00232092+0.00015382i, +0.00120311+0.00007257i, +0.00068410-0.00115524i, +0.00038485+0.00070866i, -0.00166175-0.00161222i, +0.00062178+0.00078585i, -0.00012361+0.00011907i, +0.00008697-0.00085597i, +0.00239932+0.00303606i, -0.00003174+0.00160446i, -0.00005382+0.00120496i, +0.00167674+0.00070942i, -0.00146171+0.00293316i, +0.00038444-0.00187826i, -0.00220835-0.00013645i, -0.00268913+0.00208879i, +0.00088166-0.00425173i, +0.00019774-0.00122588i, +0.00012452+0.00285260i, -0.00261614+0.00107012i, -0.00196308-0.00029173i, +0.00293554-0.00053152i, +0.00257603-0.00400856i, +0.00057009-0.00195821i, -0.00037843+0.00232024i, -0.00139466+0.00109211i, -0.00029702-0.00125221i, -0.00092965+0.00074409i, -0.00018018+0.00007190i, +0.00140463+0.00002907i, +0.00065071-0.00113939i, -0.00114371-0.00049267i, +0.00073055-0.00029230i, +0.00097698+0.00014275i, -0.00057856-0.00027908i, +0.00036066-0.00110150i, -0.00044697+0.00073772i, +0.00065475+0.00045347i, +0.00014812+0.00075608i
-0.00011541-0.00075286i, +0.00230175-0.00015345i, +0.00593672+0.00000000i, -0.00010546-0.00111115i, -0.00022224+0.00111615i, +0.00094877+0.00062335i, -0.00061329-0.00071713i, -0.00017932-0.00105760i, -0.00042382+0.00015039i, -0.00004627+0.00034098i, -0.00085384-0.00085987i, -0.00009630+0.00090404i, -0.00157453+0.00013829i, -0.00021407-0.00045595i, -0.00027633-0.00020256i, +0.00106066-0.00123054i, -0.00071922+0.00212518i, -0.00143543-0.00053053i, -0.00124561-0.00172107i, +0.00037976+0.00239774i, +0.00150901-0.00075215i, +0.00013965-0.00043686i, -0.00033966-0.00089898i, -0.00113510+0.00212782i, +0.00087913+0.00016237i, +0.00098814+0.00071746i, +0.00105024-0.00000411i, +0.00054454+0.00024260i, -0.00057083+0.00028161i, -0.00051158-0.00126320i, +0.00133858+0.00100901i, +0.00048168-0.00073331i, +0.00044004+0.00054406i, -0.00047595+0.00170099i, +0.00114982+0.00174882i, -0.00005326+0.00017956i, +0.00026505+0.00092357i, -0.00146678+0.00120459i, +0.00126272-0.00130506i, -0.00102834-0.00099664i, -0.00144340+0.00026725i, +0.00095679-0.00167976i, +0.00131487-0.00287235i, -0.00170006+0.00183912i, -0.00228019-0.00038628i, -0.00149337-0.00070344i, +0.00134159+0.00083597i, +0.00290643-0.00088892i, +0.00108134-0.00096955i, -0.00069647+0.00094955i, -0.00193854+0.00094073i, +0.00048602-0.00072313i, -0.00103159-0.00000865i, -0.00070193+0.00006185i, +0.00011715+0.00109946i, +0.00055553-0.00025651i, -0.00040356-0.00095098i, +0.00083190-0.00001965i, +0.00079907+0.00108239i, -0.00054840-0.00019969i, +0.00050860-0.00066572i, -0.00059502-0.00035451i, +0.00009612+0.00034692i, +0.00000625+0.00034164i
+0.00553556+0.00430126i, -0.00126185+0.00142524i, -0.00010546+0.00111115i, +0.01005530-0.00000000i, -0.00126764-0.00634317i, +0.00048538-0.00147179i, +0.00096986+0.00220758i, +0.00551083+0.00486918i, +0.00295166-0.00084046i, -0.00186917-0.00043390i, +0.00085552-0.00121109i, +0.00029001-0.00354788i, +0.00417742-0.00123318i, +0.00207804+0.00199648i, -0.00068365+0.00007859i, -0.00348883+0.00399910i, +0.00152854-0.00633028i, +0.00310678+0.00001866i, +0.00097167-0.00075806i, -0.00334646-0.00805644i, -0.00577241+0.00256088i, -0.00058688+0.00082981i, +0.00191225-0.00163195i, +0.00298082-0.00774058i, -0.00131191+0.00041840i, -0.00213603-0.00249331i, -0.00095557-0.00078199i, -0.00121235-0.00012617i, +0.00119180-0.00131042i, +0.00027137+0.00292467i, -0.00059322-0.00094362i, -0.00014778+0.00151364i, +0.00044851+0.00240123i, +0.00094120-0.00276507i, +0.00150045-0.00079278i, +0.00447376+0.00111539i, -0.00073672-0.00306324i, +0.00328770-0.00219436i, -0.00162593+0.00197171i, +0.00328882+0.00282793i, +0.00497699-0.00105303i, -0.00209625+0.00234882i, -0.00090729+0.00113580i, +0.00367816-0.00614136i, +0.00500038+0.00120779i, +0.00357589+0.00215713i, -0.00400018-0.00139646i, -0.00700694+0.00286074i, -0.00300327+0.00259876i, +0.00056843-0.00194023i, +0.00204513-0.00024927i, -0.00175797+0.00376401i, +0.00287181+0.00050516i, +0.00159010-0.00015604i, -0.00190594-0.00116985i, -0.00281504+0.00148993i, +0.00135971+0.00195666i, -0.00201163+0.00092478i, -0.00155680-0.00088919i, +0.00186774+0.00120750i, -0.00148269+0.00158701i, +0.00145740+0.00059573i, -0.00062429-0.00162676i, -0.00009308-0.00169527i
-0.00560987+0.00403835i, +0.00074361-0.00111558i, -0.00022224-0.00111615i, -0.00126764+0.00634317i, +0.01478978-0.00000000i, +0.00139258+0.00320385i, -0.00353981+0.00086290i, -0.00939876+0.00656058i, -0.00000432+0.00618330i, +0.00112283-0.00188773i, +0.00135956+0.00287031i, +0.00484277+0.00252454i, -0.00096729+0.01121269i, -0.00483805+0.00109221i, +0.00020689-0.00116187i, -0.00477270-0.00890229i, +0.01111581+0.00623684i, -0.00262740+0.00549957i, +0.00022104+0.00228003i, +0.01210777-0.00061770i, -0.00204185-0.01223628i, -0.00034505-0.00067409i, +0.00134172+0.00401299i, +0.00977413+0.00748353i, +0.00098731-0.00411390i, +0.00539865-0.00149905i, +0.00215942-0.00128218i, +0.00082385-0.00371779i, +0.00195854+0.00356247i, -0.00507867-0.00102865i, +0.00189022-0.00059841i, -0.00233162-0.00131454i, -0.00161415-0.00022292i, +0.00352756+0.00380557i, +0.00107691+0.00323422i, -0.00016071+0.00380807i, +0.00872577+0.00130285i, +0.00127549+0.00807338i, -0.00305798-0.00481851i, -0.00823219+0.00384747i, -0.00154630+0.00892212i, -0.00323376-0.00535729i, -0.00206250-0.00252254i, +0.00523872+0.00731821i, -0.00587029+0.01024961i, -0.00622118+0.00358542i, +0.00526039-0.00602335i, -0.00074762-0.01329418i, -0.00338020-0.00712659i, +0.00286314+0.00267359i, -0.00115086+0.00458577i, -0.00407173-0.00325254i, -0.00216860+0.00572773i, -0.00090328+0.00214502i, +0.00331309-0.00249185i, -0.00107253-0.00462707i, -0.00439642+0.00185018i, -0.00032502-0.00362803i, +0.00265792-0.00202672i, -0.00203422+0.00210321i, -0.00179476-0.00372558i, -0.00153964+0.00266171i, +0.00335546-0.00062880i, +0.00184967+0.00055701i
-0.00105481+0.00141764i, +0.00088167-0.00136245i, +0.00094877-0.00062335i, +0.00048538+0.00147179i, +0.00139258-0.00320385i, +0.00688315-0.00000000i, -0.00195390+0.00065802i, -0.00021861+0.00367487i, +0.00239968+0.00125050i, -0.00054472+0.00024981i, +0.00074659+0.00022441i, +0.00273772-0.00128147i, +0.00330618+0.00254343i, -0.00057230+0.00426304i, -0.00085437-0.00108688i, -0.00513091-0.00088311i, +0.00345250-0.00133882i, +0.00246153+0.00278880i, +0.00067888+0.00014272i, +0.00327281-0.00335677i, -0.00269270-0.00195992i, -0.00111214-0.00233162i, +0.00132357+0.00074286i, +0.00424596-0.00033494i, -0.00109744-0.00105328i, +0.00161248-0.00280797i, +0.00049316-0.00107779i, -0.00142190-0.00102040i, +0.00145901-0.00021545i, -0.00179619+0.00150918i, +0.00064866-0.00028742i, -0.00096635+0.00055398i, -0.00063882+0.00011028i, +0.00267902+0.00063744i, +0.00153789+0.00091490i, +0.00074568+0.00077874i, +0.00178522-0.00220914i, +0.00493349+0.00285380i, -0.00211557-0.00063404i, -0.00102282+0.00386276i, +0.00168656+0.00277619i, -0.00255522-0.00021726i, -0.00083996-0.00052235i, +0.00378625+0.00146105i, +0.00098027+0.00334896i, -0.00224739+0.00551264i, +0.00007413-0.00332735i, -0.00405623-0.00359381i, -0.00229716-0.00083040i, +0.00087822-0.00060358i, +0.00053564+0.00139405i, -0.00207315-0.00030595i, +0.00073669+0.00152293i, -0.00035092+0.00217988i, +0.00044296-0.00153590i, -0.00161116-0.00095651i, -0.00046534+0.00121668i, -0.00136829-0.00051755i, +0.00019271-0.00089532i, -0.00028461+0.00119985i, -0.00126013-0.00061298i, -0.00003015+0.00043495i, +0.00056867-0.00068432i, +0.00052860+0.00005420i
+0.00275351-0.00120234i, -0.00096368+0.00146129i, -0.00061329+0.00071713i, +0.00096986-0.00220758i, -0.00353981-0.00086290i, -0.00195390-0.00065802i, +0.00671582-0.00000000i, +0.00350668-0.00185912i, +0.00040832-0.00214631i, +0.00027107+0.00049373i, +0.00016000-0.00162549i, -0.00175648-0.00113390i, +0.00086950-0.00320405i, +0.00134289-0.00072132i, +0.00016566+0.00338411i, +0.00129022+0.00350777i, -0.00336405-0.00323068i, +0.00174954-0.00153180i, -0.00136690-0.00161606i, -0.00437086-0.00119949i, -0.00064199+0.00394885i, +0.00017888+0.00042809i, -0.00093474-0.00421237i, -0.00279144-0.00375759i, -0.00024375+0.00103011i, -0.00213923+0.00042491i, -0.00154467+0.00116415i, -0.00083606+0.00097994i, -0.00065537-0.00161072i, +0.00209429+0.00075032i, -0.00122726+0.00058602i, +0.00054054+0.00104866i, +0.00080113+0.00071634i, -0.00148449-0.00175884i, -0.00053902-0.00187584i, +0.00046591-0.00138380i, -0.00265832-0.00030500i, +0.00012305-0.00339123i, +0.00256406+0.00319881i, +0.00338821-0.00056529i, +0.00147009-0.00388816i, +0.00086750+0.00287825i, +0.00050309+0.00067999i, -0.00123541-0.00349739i, +0.00245576-0.00266746i, +0.00281604-0.00108589i, -0.00433959+0.00454310i, -0.00116150+0.00555603i, +0.00019510+0.00341795i, -0.00055375-0.00124052i, +0.00176442-0.00063988i, +0.00108439+0.00173610i, +0.00120057-0.00152682i, +0.00070894-0.00076537i, -0.00228368+0.00173793i, -0.00010586+0.00195770i, +0.00208529-0.00020465i, -0.00038469+0.00121796i, -0.00070442-0.00004168i, +0.00108387-0.00055515i, -0.00002335+0.00155466i, +0.00090122-0.00047030i, -0.00172363-0.00102062i, -0.00079836-0.00026125i
+0.00674603+0.00006663i, -0.00161838+0.00109567i, -0.00017932+0.00105760i, +0.00551083-0.00486918i, -0.00939876-0.00656058i, -0.00021861-0.00367487i, +0.00350668+0.00185912i, +0.01485077-0.00000000i, +0.00279421-0.00460251i, -0.00177661+0.00156501i, -0.00003796-0.00268367i, -0.00295801-0.00475042i, +0.00515736-0.00741486i, +0.00511374+0.00098384i, -0.00106627+0.00120927i, -0.00026472+0.01139355i, -0.00504534-0.00940285i, +0.00471884-0.00342575i, +0.00074248-0.00187173i, -0.01121850-0.00613231i, -0.00423229+0.00901613i, -0.00016511+0.00064889i, +0.00093435-0.00418421i, -0.00488752-0.01273006i, -0.00214664+0.00254747i, -0.00540039-0.00121357i, -0.00219928-0.00006552i, -0.00269146+0.00312579i, -0.00002851-0.00332473i, +0.00380272+0.00319411i, -0.00164102-0.00052453i, +0.00109722+0.00250574i, +0.00123704+0.00152195i, -0.00142737-0.00496232i, +0.00075582-0.00312048i, +0.00197402-0.00303503i, -0.00520426-0.00436788i, +0.00264643-0.00763976i, +0.00008856+0.00536976i, +0.01014815+0.00187891i, +0.00532528-0.00596405i, +0.00007893+0.00620731i, +0.00023903+0.00257185i, -0.00070210-0.00921931i, +0.00820739-0.00423644i, +0.00703379+0.00014935i, -0.00743374+0.00241650i, -0.00683304+0.01317299i, -0.00092334+0.00661981i, -0.00112338-0.00349707i, +0.00283549-0.00287603i, +0.00171009+0.00542257i, +0.00379890-0.00264293i, +0.00172503-0.00121518i, -0.00391489+0.00045954i, -0.00212976+0.00519970i, +0.00399536+0.00064629i, -0.00153988+0.00306716i, -0.00289634+0.00040346i, +0.00319088-0.00062185i, -0.00042541+0.00336105i, +0.00235855-0.00134712i, -0.00287026-0.00123654i, -0.00143285-0.00187315i
+0.00091146+0.00361538i, +0.00003543-0.00182188i, -0.00042382-0.00015039i, +0.00295166+0.00084046i, -0.00000432-0.00618330i, +0.00239968-0.00125050i, +0.00040832+0.00214631i, +0.00279421+0.00460251i, +0.01355268-0.00000000i, -0.00123881+0.00138753i, +0.00294516-0.00104346i, +0.00633972-0.00712660i, +0.00975192+0.00365907i, +0.00081788+0.00355698i, -0.00192576-0.00033412i, -0.01004973+0.00307575i, +0.00610574-0.00812658i, +0.00478146+0.00245735i, +0.00194011-0.00014841i, +0.00056167-0.00960544i, -0.00934645-0.00079045i, -0.00000043+0.00091035i, +0.00320183-0.00167917i, +0.00664207-0.00665317i, -0.00209404-0.00115060i, -0.00112207-0.00413040i, -0.00049664-0.00217837i, -0.00300645-0.00124009i, +0.00332508-0.00335689i, -0.00052248+0.00375237i, -0.00006644-0.00080154i, -0.00050800+0.00337031i, -0.00114943+0.00293438i, +0.00356657-0.00300126i, +0.00350891-0.00041007i, +0.00304513+0.00102404i, +0.00077921-0.00518020i, +0.00589498-0.00038593i, -0.00347436+0.00128417i, +0.00226043+0.00542561i, +0.01074595+0.00436079i, -0.00526791+0.00293473i, -0.00182861+0.00078826i, +0.00868422-0.00413459i, +0.00636545+0.00693218i, +0.00273038+0.00539612i, -0.00501542-0.00537291i, -0.01147789-0.00150890i, -0.00551272+0.00228918i, +0.00245989-0.00175452i, +0.00361199+0.00144029i, -0.00279786+0.00296834i, +0.00397306+0.00252169i, +0.00161069+0.00116357i, -0.00201246-0.00319357i, -0.00395207+0.00035057i, +0.00098504+0.00271463i, -0.00277337+0.00013941i, -0.00165036-0.00235920i, +0.00117661+0.00129628i, -0.00286493+0.00112771i, +0.00196531+0.00140644i, -0.00035765-0.00285594i, +0.00045881-0.00119096i
-0.00128792-0.00075976i, +0.00018056+0.00109874i, -0.00004627-0.00034098i, -0.00186917+0.00043390i, +0.00112283+0.00188773i, -0.00054472-0.00024981i, +0.00027107-0.00049373i, -0.00177661-0.00156501i, -0.00123881-0.00138753i, +0.00854208-0.00000000i, +0.00225188+0.00110519i, -0.00009124-0.00030444i, -0.00114489+0.00141145i, -0.00129109-0.00151417i, +0.00086498+0.00181061i, +0.00074506-0.00157786i, +0.00055942+0.00211432i, +0.00022472-0.00035505i, -0.00042364+0.00033529i, +0.00191436+0.00127778i, +0.00111931-0.00163063i, -0.00208067-0.00087538i, -0.00029645+0.00078378i, +0.00058194+0.00287166i, +0.00047672-0.00089299i, +0.00197991+0.00059999i, +0.00065750+0.00028617i, +0.00045994-0.00001285i, -0.00044499+0.00054130i, -0.00009951-0.00201718i, +0.00047757+0.00036770i, -0.00012396-0.00017498i, +0.00075714-0.00016973i, -0.00026187+0.00297845i, -0.00044564+0.00098265i, -0.00061676+0.00056968i, +0.00070204+0.00049345i, -0.00086964+0.00057800i, +0.00056366-0.00073007i, -0.00064458+0.00003656i, -0.00081420+0.00041239i, +0.00391294+0.00090138i, +0.00030525-0.00023629i, +0.00072508+0.00195939i, -0.00151980+0.00081800i, -0.00046750+0.00109567i, +0.00114252+0.00008250i, +0.00170520-0.00161550i, +0.00025879-0.00088121i, +0.00014459+0.00157031i, -0.00019325+0.00132442i, -0.00012065-0.00075992i, -0.00038386+0.00012272i, +0.00035902+0.00187971i, +0.00078596-0.00030630i, +0.00038132+0.00002319i, -0.00086491-0.00017801i, +0.00032386-0.00120411i, +0.00089949-0.00058945i, -0.00038569+0.00020132i, +0.00009702-0.00075816i, -0.00124585+0.00075371i, +0.00071872+0.00002062i, +0.00026935+0.00055098i
-0.00059128+0.00215000i, -0.00016307-0.00099666i, -0.00085384+0.00085987i, +0.00085552+0.00121109i, +0.00135956-0.00287031i, +0.00074659-0.00022441i, +0.00016000+0.00162549i, -0.00003796+0.00268367i, +0.00294516+0.00104346i, +0.00225188-0.00110519i, +0.00919994-0.00000000i, +0.00260108-0.00289123i, +0.00460229+0.00296051i, -0.00199056+0.00119422i, -0.00026795+0.00070307i, -0.00504212+0.00049811i, +0.00460409-0.00338812i, +0.00205612+0.00232297i, +0.00228738-0.00059501i, +0.00238458-0.00577910i, -0.00431911-0.00233635i, -0.00024579+0.00006040i, +0.00448643+0.00102700i, +0.00535133-0.00256593i, -0.00205387-0.00069817i, +0.00065930-0.00272388i, +0.00057054-0.00111673i, -0.00175736-0.00124654i, +0.00219490-0.00059576i, -0.00146458+0.00190108i, -0.00036374+0.00034863i, -0.00082420+0.00103492i, -0.00115666+0.00025838i, +0.00248683-0.00028606i, +0.00147362+0.00220569i, +0.00242718+0.00035828i, +0.00095239-0.00324932i, +0.00336117+0.00101378i, -0.00197248+0.00094294i, +0.00082237+0.00366524i, +0.00425900+0.00367995i, -0.00316913+0.00115470i, +0.00192386+0.00249513i, +0.00543517-0.00104836i, +0.00246225+0.00374467i, +0.00053010+0.00331461i, -0.00262699-0.00528758i, -0.00669604-0.00250870i, -0.00388780+0.00033651i, +0.00237903-0.00031531i, +0.00225506+0.00256794i, -0.00182669+0.00140655i, +0.00206007+0.00089370i, +0.00101896+0.00127575i, -0.00117502-0.00365818i, -0.00210905-0.00013807i, +0.00023514+0.00248764i, -0.00165488-0.00094772i, -0.00059790-0.00256693i, +0.00031942+0.00112853i, -0.00187538-0.00026500i, +0.00088364+0.00137856i, +0.00118518-0.00239530i, +0.00078535-0.00045677i
