+0.01250735-0.00000000i, +0.00069352+0.00182444i, +0.00230509-0.00088462i, -0.00069552-0.00004418i, -0.00009079-0.00070971i, -0.00079961+0.00032760i, +0.00125601-0.00039936i, -0.00221265+0.00039437i, +0.00114241-0.00136476i, -0.00212870-0.00100508i, +0.00568600-0.00242617i, -0.00002437+0.00013734i, -0.00115211-0.00082474i, +0.00150990-0.00121594i, +0.00060499+0.00667503i, -0.00453468-0.00037936i, -0.00193807+0.00071919i, -0.00254858-0.00066556i, +0.00286701+0.00285928i, +0.00494148-0.00059408i, +0.00020466+0.00088555i, +0.00094394+0.00246219i, +0.00128494-0.00079968i, +0.00303524+0.00310456i, +0.00001168-0.00016027i, -0.00069774+0.00203244i, -0.00197771+0.00051694i, +0.00120517+0.00090807i, -0.00381260-0.00006215i, -0.00012989+0.00305680i, +0.00031549+0.00100466i, +0.00002570+0.00131492i, -0.00541857-0.00324915i, +0.00166577-0.00051381i, -0.00118160+0.00187531i, -0.00112711+0.00007358i, +0.00077975+0.00082480i, +0.00150109-0.00003043i, -0.00051454-0.00098784i, +0.00057555-0.00043890i, -0.00128322+0.00062505i, -0.00088705+0.00223034i, -0.00573862+0.00013566i, -0.00029579+0.00153981i, +0.00115046+0.00019580i, -0.00101138+0.00042102i, +0.00105542-0.00417256i, +0.00176781+0.00286528i, -0.00311982-0.00087073i, +0.00024464-0.00136278i, +0.00088725+0.00240979i, +0.00673736+0.00172533i, -0.00017384+0.00135222i, -0.00088991+0.00177540i, +0.00058053+0.00037063i, -0.00037346+0.00367309i, +0.00180245+0.00125248i, -0.00288405+0.00132419i, -0.00010623+0.00052845i, +0.00007853+0.00399834i, +0.00044490-0.00209849i, -0.00087849+0.00410852i, -0.00064172+0.00373562i, +0.00004145+0.00095429i
+0.00069352-0.00182444i, +0.01044164-0.00000000i, +0.00015449+0.00012026i, -0.00081678+0.00053476i, +0.00025422-0.00104258i, +0.00052262-0.00076010i, -0.00043608-0.00062735i, -0.00213185+0.00168394i, +0.00109851-0.00076030i, -0.00067237+0.00043318i, +0.00057405-0.00226748i, -0.00150924-0.00119316i, -0.00110375+0.00008906i, -0.00012248-0.00157720i, +0.00125188+0.00171280i, -0.00183607+0.00289900i, -0.00021754+0.00093612i, -0.00113508+0.00081271i, +0.00268376-0.00069427i, +0.00104914-0.00186443i, +0.00034254+0.00071810i, +0.00118278-0.00026406i, -0.00018620-0.00131330i, +0.00214727-0.00011504i, -0.00028941+0.00018849i, +0.00012668+0.00072235i, -0.00009964+0.00100695i, +0.00056837-0.00053190i, -0.00099270+0.00255140i, +0.00054606+0.00068875i, +0.00000645+0.00037925i, +0.00024731+0.00095037i, -0.00263241+0.00037773i, -0.00104425-0.00130394i, +0.00044133+0.00125311i, -0.00057876+0.00051562i, +0.00015087+0.00003597i, +0.00106396-0.00068544i, -0.00038149-0.00044614i, +0.00005539-0.00059043i, -0.00002035+0.00037491i, -0.00032300+0.00190962i, -0.00217920+0.00203488i, +0.00079900+0.00097159i, +0.00060374-0.00046770i, -0.00036125+0.00115458i, -0.00099456-0.00186061i, +0.00178339+0.00067165i, -0.00141377+0.00032108i, -0.00016917-0.00025721i, +0.00075458+0.00035018i, +0.00362492-0.00216592i, +0.00054510+0.00036771i, +0.00012318+0.00074937i, +0.00038489-0.00020452i, +0.00142467+0.00116330i, +0.00135356-0.00040792i, -0.00107570+0.00195970i, -0.00009667+0.00014686i, +0.00085558+0.00131583i, -0.00056389-0.00075883i, +0.00113689+0.00215444i, +0.00068360+0.00158736i, +0.00030193-0.00025806i
+0.00230509+0.00088462i, +0.00015449-0.00012026i, +0.01328603-0.00000000i, +0.00194909-0.00055817i, +0.00037432-0.00004323i, -0.00008847+0.00078526i, +0.00053445-0.00109492i, +0.00073116+0.00242460i, +0.00076093-0.00072120i, -0.00111080-0.00078589i, +0.00395674-0.00270184i, -0.00116333-0.00131787i, +0.00027407-0.00172639i, +0.00008981-0.00176528i, -0.00035095+0.00472860i, -0.00328333-0.00047653i, -0.00169308+0.00179927i, -0.00285529-0.00073413i, +0.00242904+0.00247168i, +0.00419597+0.00060746i, +0.00012669+0.00162125i, +0.00051580+0.00110518i, +0.00126519-0.00041773i, +0.00246252+0.00204437i, +0.00042226+0.00029891i, -0.00120230+0.00129741i, -0.00135520-0.00055409i, -0.00040642-0.00007449i, -0.00276157+0.00035331i, -0.00098901+0.00203406i, +0.00044926+0.00143935i, -0.00104421+0.00262896i, -0.00346216-0.00229365i, +0.00149679-0.00041818i, -0.00372177+0.00061375i, -0.00129287-0.00018146i, +0.00040107+0.00046230i, +0.00158104-0.00027611i, -0.00074377-0.00029430i, +0.00019900-0.00086374i, -0.00053927+0.00010806i, -0.00051297+0.00183104i, -0.00599753+0.00112794i, -0.00013276+0.00126730i, +0.00036051+0.00055000i, -0.00054926+0.00033950i, +0.00085048-0.00414527i, +0.00201753+0.00249695i, -0.00310656-0.00077757i, +0.00054742-0.00098689i, +0.00028365+0.00228554i, +0.00610329+0.00116734i, +0.00033231+0.00137972i, -0.00066169+0.00143679i, +0.00082526+0.00070580i, +0.00001523+0.00336803i, +0.00232766+0.00062545i, -0.00274591+0.00174485i, -0.00039656+0.00075887i, +0.00010516+0.00361368i, +0.00028764-0.00289401i, -0.00069365+0.00348752i, -0.00023444+0.00300266i, -0.00009363+0.00123778i
-0.00069552+0.00004418i, -0.00081678-0.00053476i, +0.00194909+0.00055817i, +0.01267554-0.00000000i, -0.00006944+0.00128552i, -0.00077853+0.00040945i, -0.00041200+0.00167678i, +0.00075647+0.00313758i, -0.00088883+0.00045016i, +0.00060265-0.00115779i, +0.00176251-0.00054875i, +0.00063863-0.00202432i, +0.00013316+0.00041941i, +0.00057259-0.00241164i, +0.00017647-0.00017759i, -0.00010681-0.00122906i, -0.00186491+0.00028677i, -0.00004683-0.00101247i, -0.00044016+0.00149569i, +0.00074224+0.00043149i, +0.00026424+0.00020954i, +0.00013165+0.00067738i, +0.00054057+0.00066094i, +0.00023432+0.00042126i, -0.00040863-0.00048286i, -0.00067922-0.00022777i, +0.00111871-0.00050427i, +0.00005244+0.00113170i, -0.00037734-0.00045401i, -0.00012187+0.00057308i, +0.00052971+0.00206373i, -0.00054956-0.00001717i, -0.00007936-0.00080027i, +0.00059253+0.00041870i, -0.00087095+0.00010360i, -0.00244859-0.00111815i, +0.00015983+0.00023671i, +0.00061833+0.00011641i, +0.00024292-0.00036590i, -0.00009567-0.00083673i, -0.00019598-0.00037468i, -0.00026981+0.00036192i, -0.00110740-0.00069565i, -0.00100312+0.00096313i, +0.00013017+0.00027653i, -0.00009053-0.00038878i, +0.00038659-0.00067919i, -0.00012613+0.00064048i, -0.00091844+0.00005642i, +0.00026256-0.00069095i, -0.00047887+0.00068102i, +0.00083768+0.00168384i, -0.00013129+0.00068135i, -0.00048845-0.00007948i, +0.00014536-0.00022149i, -0.00010652+0.00090888i, +0.00015131+0.00048127i, -0.00127871-0.00021913i, +0.00050690+0.00019868i, -0.00082081+0.00113200i, +0.00044053-0.00084603i, -0.00090609+0.00100659i, -0.00086431+0.00107688i, -0.00064041+0.00034163i
-0.00009079+0.00070971i, +0.00025422+0.00104258i, +0.00037432+0.00004323i, -0.00006944-0.00128552i, +0.00951669-0.00000000i, -0.00030218-0.00003886i, +0.00010277-0.00012400i, +0.00096473-0.00081066i, +0.00021579-0.00037882i, -0.00035836-0.00062234i, +0.00020561+0.00157648i, +0.00002198+0.00000206i, -0.00042407+0.00061367i, -0.00004669-0.00081244i, -0.00208669-0.00000025i, -0.00062667-0.00130039i, -0.00006441+0.00005318i, +0.00021401-0.00023118i, +0.00014481+0.00115242i, -0.00015782+0.00101902i, -0.00019739+0.00072941i, -0.00008173-0.00031713i, +0.00042368+0.00078481i, -0.00125391+0.00084236i, -0.00062061+0.00025561i, +0.00011373-0.00062413i, -0.00018165-0.00052542i, -0.00013049+0.00018675i, +0.00002178-0.00070561i, -0.00042749+0.00029609i, +0.00050704-0.00035933i, -0.00063965+0.00014346i, -0.00004610-0.00082873i, +0.00004237+0.00009548i, -0.00034266-0.00027524i, -0.00006614-0.00002459i, -0.00214085-0.00083169i, +0.00055011+0.00065059i, -0.00040015-0.00055205i, -0.00013398+0.00019127i, -0.00061942+0.00099161i, -0.00046793-0.00025974i, -0.00029496-0.00122382i, -0.00008487-0.00051248i, +0.00127536-0.00036852i, -0.00049078-0.00002333i, +0.00075833+0.00016586i, -0.00011900+0.00080940i, +0.00052709-0.00039902i, +0.00020943+0.00003398i, -0.00003556+0.00054733i, -0.00017558+0.00132763i, -0.00110050+0.00074897i, +0.00003730-0.00045280i, -0.00070397+0.00053198i, -0.00142458+0.00010151i, -0.00015616+0.00046660i, +0.00004976-0.00049618i, -0.00040517+0.00067385i, -0.00057553-0.00010734i, +0.00069336-0.00015074i, -0.00086202+0.00022891i, -0.00060885+0.00009571i, -0.00035994-0.00014543i
-0.00079961-0.00032760i, +0.00052262+0.00076010i, -0.00008847-0.00078526i, -0.00077853-0.00040945i, -0.00030218+0.00003886i, +0.00987219-0.00000000i, -0.00003597-0.00112905i, +0.00049744+0.00021564i, +0.00071806+0.00021504i, -0.00054348+0.00026678i, -0.00179440-0.00091120i, -0.00168003+0.00101512i, +0.00079919-0.00032861i, -0.00124923+0.00089708i, +0.00128726-0.00026232i, +0.00098741+0.00264246i, +0.00034455+0.00109281i, -0.00084040+0.00069338i, +0.00056394-0.00141267i, -0.00014957-0.00108541i, +0.00012757-0.00017757i, +0.00061596+0.00004035i, -0.00132504-0.00033074i, +0.00039930-0.00224177i, +0.00022127-0.00092798i, +0.00039163+0.00030083i, -0.00035124-0.00034195i, +0.00011010-0.00058041i, -0.00027513+0.00213999i, +0.00079845-0.00082721i, +0.00059448-0.00004359i, -0.00008120+0.00072831i, -0.00052133+0.00090756i, -0.00037506-0.00070510i, +0.00067901+0.00037987i, +0.00052733+0.00064427i, +0.00017048+0.00009585i, -0.00158758-0.00135756i, -0.00042174+0.00012363i, -0.00025303+0.00005867i, -0.00029202+0.00005537i, +0.00077550+0.00094374i, +0.00048608+0.00187177i, +0.00027337+0.00065283i, +0.00010134+0.00008812i, +0.00121634-0.00027547i, -0.00113819-0.00037372i, +0.00041183-0.00092811i, -0.00026035+0.00116014i, -0.00034987-0.00013198i, +0.00041763-0.00085641i, +0.00058428-0.00237575i, +0.00040077-0.00020810i, +0.00035188+0.00078484i, +0.00085525-0.00057955i, +0.00125812-0.00037993i, +0.00010499-0.00091796i, +0.00059331+0.00115652i, -0.00009286+0.00001474i, +0.00168833-0.00055181i, -0.00067029+0.00028198i, +0.00144835+0.00003801i, +0.00098828-0.00042029i, +0.00092873+0.00009072i
+0.00125601+0.00039936i, -0.00043608+0.00062735i, +0.00053445+0.00109492i, -0.00041200-0.00167678i, +0.00010277+0.00012400i, -0.00003597+0.00112905i, +0.01146905+0.00000000i, -0.00001533+0.00078760i, +0.00114761-0.00092272i, -0.00065981-0.00098513i, +0.00166527-0.00062943i, -0.00021437-0.00000673i, -0.00029185+0.00047968i, -0.00006261-0.00073481i, -0.00079895+0.00217762i, -0.00199678-0.00144926i, -0.00067575+0.00018093i, -0.00046701-0.00111969i, +0.00001152+0.00104535i, +0.00066414+0.00072780i, -0.00039201+0.00034365i, +0.00087134+0.00082882i, +0.00076722+0.00011392i, +0.00088739+0.00100966i, -0.00025041-0.00001218i, -0.00048420+0.00025082i, -0.00030166-0.00080096i, +0.00124358-0.00085523i, -0.00161147-0.00077966i, -0.00035885-0.00006134i, +0.00039733-0.00057978i, -0.00147087-0.00043826i, -0.00072904-0.00165126i, +0.00078324-0.00003625i, -0.00014506+0.00046129i, +0.00000286+0.00022590i, +0.00016256+0.00024048i, +0.00036857+0.00024700i, -0.00273603-0.00118594i, +0.00032034+0.00020439i, -0.00068755+0.00035314i, -0.00058984+0.00120064i, -0.00182987-0.00115347i, -0.00015337+0.00022824i, +0.00034530+0.00038667i, -0.00050110+0.00003833i, +0.00188644-0.00148391i, +0.00019672+0.00146855i, -0.00063616-0.00099474i, +0.00037049-0.00066346i, +0.00003623+0.00045399i, +0.00229130+0.00151948i, +0.00002537+0.00091631i, -0.00149428+0.00034874i, -0.00067391+0.00089555i, -0.00013759+0.00110580i, +0.00118368+0.00002064i, -0.00105235+0.00030588i, -0.00034930-0.00080825i, -0.00048786+0.00156857i, +0.00006651-0.00061308i, -0.00092628+0.00106145i, +0.00010792+0.00077767i, -0.00062633+0.00067003i
-0.00221265-0.00039437i, -0.00213185-0.00168394i, +0.00073116-0.00242460i, +0.00075647-0.00313758i, +0.00096473+0.00081066i, +0.00049744-0.00021564i, -0.00001533-0.00078760i, +0.01323435-0.00000000i, -0.00052227-0.00004309i, +0.00110020-0.00037612i, -0.00407016-0.00075384i, -0.00119159+0.00192254i, +0.00127431+0.00013831i, -0.00232810+0.00086566i, +0.00257109-0.00310735i, +0.00235587+0.00215356i, +0.00143965+0.00148275i, +0.00098171+0.00196852i, -0.00072092-0.00225621i, -0.00222824-0.00203389i, +0.00103333-0.00089701i, +0.00039286-0.00217623i, -0.00131607+0.00024587i, -0.00087890-0.00286026i, -0.00022330+0.00022238i, +0.00100240-0.00029293i, +0.00035864-0.00077270i, -0.00037698-0.00067357i, +0.00259850+0.00117229i, +0.00135783-0.00079411i, +0.00211700-0.00093510i, +0.00138036-0.00018665i, +0.00066677+0.00303787i, -0.00104100-0.00059927i, +0.00149898-0.00049481i, +0.00094855+0.00128655i, -0.00014292-0.00064311i, -0.00115225-0.00089672i, -0.00021476+0.00105666i, -0.00250138-0.00075492i, -0.00017055-0.00021563i, +0.00177989-0.00109520i, +0.00312630+0.00266642i, +0.00143379-0.00115937i, -0.00069368-0.00036747i, +0.00094097-0.00008583i, -0.00242679+0.00136021i, +0.00136112-0.00336290i, +0.00076051+0.00251551i, -0.00046056+0.00104933i, +0.00040178-0.00141930i, -0.00324282-0.00453500i, +0.00093468-0.00119675i, +0.00203254-0.00031961i, -0.00043601-0.00077367i, +0.00192865-0.00123668i, -0.00092616-0.00177666i, +0.00212929+0.00110933i, +0.00047190-0.00023843i, +0.00267258-0.00202798i, -0.00158417+0.00076863i, +0.00293257-0.00188121i, +0.00292635-0.00175353i, +0.00145194-0.00086082i
+0.00114241+0.00136476i, +0.00109851+0.00076030i, +0.00076093+0.00072120i, -0.00088883-0.00045016i, +0.00021579+0.00037882i, +0.00071806-0.00021504i, +0.00114761+0.00092272i, -0.00052227+0.00004309i, +0.01138865+0.00000000i, -0.00083154+0.00016947i, +0.00156674-0.00025557i, -0.00141784+0.00000272i, -0.00055669-0.00173796i, +0.00096624+0.00065660i, -0.00171343+0.00185183i, -0.00070323+0.00035354i, +0.00069056+0.00205351i, -0.00104854-0.00068956i, +0.00044788+0.00033368i, +0.00058638+0.00069928i, -0.00035909+0.00018577i, +0.00066008+0.00044702i, +0.00003137-0.00010598i, +0.00055458+0.00033282i, -0.00006677-0.00088818i, -0.00030307+0.00025164i, -0.00030229+0.00027703i, +0.00092900-0.00009103i, -0.00100974+0.00032310i, -0.00026920+0.00007966i, +0.00015930+0.00029377i, -0.00027245+0.00006360i, -0.00092896-0.00194031i, +0.00040534-0.00009614i, -0.00069775-0.00006625i, -0.00051493+0.00004023i, -0.00020070-0.00000698i, +0.00053698-0.00004780i, -0.00006928-0.00082950i, -0.00016523-0.00006920i, -0.00347792-0.00184070i, -0.00005283+0.00081249i, -0.00149728-0.00038972i, +0.00039786+0.00022080i, +0.00042514+0.00093879i, -0.00036753-0.00087155i, +0.00120666-0.00086702i, +0.00033146+0.00074687i, -0.00076983+0.00112761i, +0.00079054-0.00044276i, -0.00024138+0.00026587i, +0.00152046+0.00107193i, +0.00048221-0.00021872i, -0.00036844-0.00021691i, -0.00027115-0.00038381i, -0.00018459+0.00071896i, +0.00141264-0.00007341i, -0.00115830+0.00064152i, -0.00050960+0.00036155i, -0.00082758+0.00074528i, +0.00048876-0.00159242i, -0.00098413+0.00111446i, -0.00100065+0.00071652i, +0.00008688-0.00010608i
-0.00212870+0.00100508i, -0.00067237-0.00043318i, -0.00111080+0.00078589i, +0.00060265+0.00115779i, -0.00035836+0.00062234i, -0.00054348-0.00026678i, -0.00065981+0.00098513i, +0.00110020+0.00037612i, -0.00083154-0.00016947i, +0.01161420-0.00000000i, -0.00244600+0.00229871i, +0.00043432+0.00046964i, +0.00026969+0.00058398i, +0.00014317+0.00034384i, -0.00019999-0.00295008i, +0.00379980-0.00097440i, +0.00080203-0.00135215i, +0.00286126+0.00181505i, -0.00209050-0.00098884i, -0.00194342+0.00091373i, +0.00007871-0.00003724i, -0.00070453-0.00113430i, -0.00052727+0.00047269i, -0.00242083-0.00113086i, -0.00003320+0.00006717i, +0.00016585-0.00206978i, +0.00156574-0.00027920i, -0.00093336-0.00037063i, +0.00209440-0.00072109i, -0.00030856-0.00104259i, -0.00017432-0.00007854i, -0.00003221-0.00168521i, +0.00261435+0.00109367i, -0.00094148-0.00029894i, +0.00044076-0.00118417i, +0.00103276+0.00004541i, -0.00047425-0.00053854i, -0.00135107-0.00026858i, +0.00078667+0.00020374i, +0.00030243+0.00051340i, +0.00034685-0.00035652i, -0.00232737-0.00329880i, +0.00359504-0.00075229i, +0.00023508-0.00094952i, -0.00112456+0.00004124i, +0.00056035+0.00049574i, +0.00016841+0.00220724i, -0.00166643-0.00225255i, +0.00170880-0.00004349i, -0.00011255+0.00230557i, -0.00097650-0.00124849i, -0.00386375+0.00004916i, -0.00067296-0.00096409i, +0.00086301-0.00116537i, -0.00002355-0.00034717i, -0.00011146-0.00183198i, -0.00096764-0.00022453i, +0.00192326-0.00206202i, +0.00077253-0.00057877i, -0.00043058-0.00233865i, -0.00031055+0.00136582i, +0.00052590-0.00319411i, +0.00044868-0.00173991i, +0.00069092-0.00125670i
+0.00568600+0.00242617i, +0.00057405+0.00226748i, +0.00395674+0.00270184i, +0.00176251+0.00054875i, +0.00020561-0.00157648i, -0.00179440+0.00091120i, +0.00166527+0.00062943i, -0.00407016+0.00075384i, +0.00156674+0.00025557i, -0.00244600-0.00229871i, +0.02092343-0.00000000i, +0.00089090-0.00187495i, -0.00031378-0.00116001i, +0.00360704-0.00205593i, -0.00365493+0.00928376i, -0.00774732-0.00461889i, -0.00453828-0.00081800i, -0.00294380-0.00351774i, +0.00345528+0.00715044i, +0.00672033+0.00309210i, -0.00101128+0.00150778i, -0.00028070+0.00369487i, +0.00255595+0.00037270i, +0.00294245+0.00737688i, +0.00039730+0.00032220i, -0.00313753+0.00178079i, -0.00184787-0.00120403i, +0.00125403+0.00199812i, -0.00526741-0.00314694i, -0.00196527+0.00341640i, -0.00110430+0.00218268i, -0.00187095+0.00152063i, -0.00313974-0.00655121i, +0.00242918+0.00089250i, -0.00340723+0.00047175i, -0.00202573-0.00149818i, +0.00065337+0.00150923i, +0.00269553+0.00139858i, +0.00010122-0.00095025i, +0.00090663-0.00061580i, -0.00060637+0.00029069i, -0.00299783+0.00215929i, -0.01197507-0.00605952i, -0.00132652+0.00201377i, +0.00124066+0.00011733i, -0.00186748-0.00037474i, +0.00446458-0.00523640i, +0.00089299+0.00672873i, -0.00336206-0.00446166i, +0.00125414-0.00158942i, -0.00012708+0.00532647i, +0.00852570+0.00800714i, -0.00074292+0.00272147i, -0.00259643+0.00118839i, -0.00085393+0.00167969i, -0.00310751+0.00585059i, +0.00269336+0.00405671i, -0.00656651-0.00039275i, +0.00032525+0.00031511i, -0.00397498+0.00574212i, +0.00350230-0.00366066i, -0.00445847+0.00535888i, -0.00459249+0.00578043i, -0.00158373+0.00174725i
