+0.01587051+0.00000000i, +0.00074027+0.00069000i, +0.00053379+0.00123774i, -0.00039316-0.00158276i, +0.00345876+0.00193450i, +0.00222481+0.00080478i, -0.00154617-0.00071283i, -0.00239318-0.00014296i, +0.00054420-0.00017287i, -0.00198826-0.00099897i, -0.00067972+0.00079753i, -0.00223102+0.00272432i, +0.00120561-0.00099598i, +0.00091198-0.00215376i, -0.00012306+0.00013901i, +0.00010791-0.00268532i, -0.00160324-0.00185353i, -0.00185692-0.00183337i, +0.00348980-0.00136574i, +0.00113433+0.00070907i, -0.00031177-0.00149489i, -0.00248025+0.00218260i, +0.00114813-0.00002200i, -0.00154285+0.00161607i, -0.00038157-0.00096117i, -0.00078823+0.00098903i, -0.00160207-0.00081580i, -0.00133915+0.00035698i, +0.00107701+0.00200310i, -0.00255977+0.00106646i, -0.00112605-0.00122763i, +0.00080501-0.00192238i, +0.00152149-0.00246987i, -0.00154817-0.00121747i, +0.00250667-0.00147097i, +0.00115462+0.00115517i, -0.00057780-0.00120916i, -0.00026088+0.00192698i, -0.00054141-0.00084025i, -0.00249243+0.00072727i, +0.00192435+0.00008861i, +0.00058331-0.00074719i, +0.00173368+0.00158024i, -0.00127804+0.00161067i, -0.00152161-0.00330858i, +0.00271683-0.00240359i, +0.00076659+0.00089017i, -0.00174503+0.00044106i, -0.00204303-0.00532484i, -0.00154296-0.00087308i, +0.00183880-0.00088618i, -0.00158582+0.00178430i, +0.00037102-0.00347914i, -0.00009226-0.00286591i, +0.00053482+0.00171780i, +0.00167316+0.00007831i, -0.00033298+0.00045864i, -0.00197747-0.00247080i, -0.00177222-0.00030582i, -0.00044563-0.00076019i, -0.00059392+0.00091803i, +0.00181531+0.00027523i, +0.00092893+0.00101664i, +0.00140519-0.00046922i
+0.00074027-0.00069000i, +0.01468775-0.00000000i, +0.00103160+0.00013669i, -0.00061891-0.00079040i, +0.00222453-0.00065420i, +0.00200725-0.00071518i, -0.00150675+0.00118371i, +0.00069388-0.00017212i, -0.00019867-0.00123811i, -0.00141310+0.00110764i, +0.00027110+0.00076668i, +0.00081378+0.00099034i, +0.00062149+0.00084342i, -0.00104595+0.00079092i, -0.00122823-0.00067794i, -0.00224212-0.00005062i, -0.00115419+0.00030896i, -0.00168049+0.00167058i, -0.00037193-0.00188708i, -0.00002484+0.00047403i, -0.00113068+0.00032783i, +0.00064245+0.00124105i, +0.00002802-0.00047065i, +0.00140611+0.00091028i, -0.00091212-0.00003661i, +0.00055928+0.00017823i, -0.00124787+0.00062603i, +0.00015063+0.00028624i, +0.00121191-0.00096079i, +0.00041956+0.00186459i, -0.00019405+0.00114239i, -0.00062746-0.00022350i, -0.00103519-0.00057338i, +0.00062622-0.00087608i, -0.00049798-0.00159551i, +0.00080496-0.00077165i, -0.00041445+0.00085550i, +0.00041768+0.00092049i, -0.00031137+0.00081434i, +0.00040331+0.00144046i, +0.00021425-0.00139380i, -0.00147058-0.00066385i, +0.00134364-0.00094601i, +0.00160754+0.00112986i, -0.00146467+0.00043293i, -0.00138653-0.00299316i, +0.00043384-0.00043918i, +0.00041123+0.00116797i, -0.00175891-0.00005315i, -0.00187061-0.00187839i, -0.00091047-0.00061533i, +0.00069483+0.00138109i, -0.00112550-0.00073377i, -0.00189071-0.00084199i, +0.00026822-0.00001465i, -0.00030175-0.00043401i, +0.00015707-0.00022725i, -0.00164207+0.00176436i, -0.00063306+0.00047771i, -0.00099856-0.00008852i, +0.00105730+0.00066288i, -0.00047574-0.00121805i, +0.00060269-0.00092191i, -0.00018248-0.00092728i
+0.00053379-0.00123774i, +0.00103160-0.00013669i, +0.01296188+0.00000000i, -0.00020360-0.00045257i, +0.00268302-0.00163577i, +0.00074111-0.00013324i, -0.00093455-0.00033329i, -0.00064538+0.00149087i, +0.00042050-0.00064529i, -0.00079005+0.00104903i, +0.00020965+0.00061924i, +0.00075325+0.00179549i, +0.00036293-0.00047766i, +0.00003437-0.00115617i, +0.00042823-0.00046099i, -0.00152557-0.00022607i, -0.00161870+0.00125353i, -0.00150794+0.00106744i, -0.00092697-0.00204648i, +0.00025954-0.00051657i, -0.00127848+0.00092926i, +0.00022475+0.00193569i, -0.00012771-0.00071975i, +0.00044202+0.00151556i, +0.00010220-0.00073086i, +0.00061528+0.00119090i, -0.00122511+0.00063187i, +0.00022505+0.00036624i, +0.00136361-0.00077583i, -0.00051045+0.00120232i, -0.00084230+0.00009649i, -0.00168052-0.00061058i, -0.00064385-0.00066667i, -0.00190451+0.00085669i, -0.00010326-0.00290881i, +0.00114064-0.00073513i, -0.00110038-0.00021075i, +0.00104830+0.00079936i, -0.00068019+0.00030452i, +0.00080047+0.00218804i, +0.00015679-0.00157072i, -0.00045930-0.00000438i, +0.00138099-0.00081253i, +0.00128707+0.00128570i, -0.00168861+0.00056766i, -0.00119986-0.00200634i, +0.00148433+0.00062938i, +0.00003324+0.00065933i, -0.00187972-0.00028479i, -0.00026868-0.00044176i, -0.00215977-0.00318585i, +0.00025144+0.00173600i, -0.00175207-0.00137519i, -0.00199585-0.00003384i, +0.00067746+0.00073064i, +0.00050382-0.00084483i, +0.00071440+0.00011384i, -0.00182435+0.00046407i, -0.00079543+0.00049730i, -0.00083935-0.00032997i, +0.00094572+0.00053354i, +0.00074147-0.00131064i, +0.00119272-0.00036896i, +0.00052544-0.00037222i
-0.00039316+0.00158276i, -0.00061891+0.00079040i, -0.00020360+0.00045257i, +0.01264517-0.00000000i, -0.00082729+0.00199117i, -0.00066833+0.00117067i, +0.00021249-0.00146518i, -0.00046273-0.00166416i, +0.00011745-0.00042133i, +0.00026412-0.00172626i, +0.00009892-0.00072561i, -0.00129550-0.00028011i, -0.00058628+0.00051934i, +0.00100046-0.00008718i, -0.00004362+0.00037920i, +0.00097417+0.00000325i, +0.00090805-0.00020823i, +0.00112626-0.00168776i, +0.00035093+0.00128176i, -0.00108783+0.00015253i, +0.00092618-0.00016420i, -0.00083624-0.00125743i, +0.00001060+0.00024999i, -0.00072569-0.00042746i, +0.00052007+0.00027116i, -0.00102667-0.00007049i, +0.00067889-0.00140776i, +0.00023726-0.00091161i, -0.00093829+0.00025475i, -0.00074699-0.00158602i, +0.00036274-0.00043108i, +0.00051569-0.00022750i, +0.00039266+0.00030551i, +0.00026349-0.00084516i, +0.00071752+0.00111183i, +0.00071348-0.00090194i, +0.00041859-0.00013793i, -0.00055178-0.00038815i, +0.00038795-0.00010504i, -0.00059622-0.00109537i, +0.00015300+0.00080262i, +0.00097952+0.00011573i, -0.00021673+0.00111279i, -0.00131517-0.00058778i, +0.00072115-0.00055063i, +0.00126082+0.00043873i, -0.00038908+0.00064300i, +0.00030500+0.00081735i, +0.00157135-0.00046184i, +0.00051563-0.00041045i, +0.00082525+0.00027803i, -0.00249774-0.00243538i, +0.00198630-0.00000688i, +0.00128444-0.00035443i, -0.00074073+0.00007118i, +0.00006831+0.00103095i, -0.00004468-0.00019853i, +0.00074881-0.00115555i, +0.00028667-0.00085595i, -0.00016010-0.00039954i, -0.00072654+0.00012156i, -0.00033578+0.00080383i, -0.00058096+0.00066619i, +0.00076291+0.00041657i
+0.00345876-0.00193450i, +0.00222453+0.00065420i, +0.00268302+0.00163577i, -0.00082729-0.00199117i, +0.01883590+0.00000000i, +0.00408006+0.00100135i, -0.00393138-0.00100190i, -0.00178268+0.00193681i, +0.00086955-0.00178824i, -0.00454827+0.00106072i, -0.00006993+0.00080888i, +0.00036371+0.00369890i, +0.00010466+0.00042806i, -0.00062547-0.00070213i, +0.00015402-0.00123078i, -0.00122294-0.00286317i, -0.00315066-0.00136578i, -0.00462867-0.00031810i, +0.00231367-0.00377822i, +0.00074532+0.00029819i, -0.00262894-0.00161546i, -0.00159217+0.00415272i, +0.00175627-0.00192802i, -0.00011554+0.00260461i, -0.00071431-0.00156538i, -0.00055519+0.00222618i, -0.00320333+0.00070454i, -0.00112091-0.00008866i, +0.00434794+0.00124551i, -0.00201294+0.00250123i, -0.00192020+0.00006649i, -0.00098674-0.00316144i, +0.00029747-0.00203887i, -0.00324189+0.00029385i, +0.00113787-0.00382995i, +0.00239647+0.00035269i, -0.00072596-0.00227064i, +0.00121953+0.00223232i, -0.00180046-0.00013800i, -0.00125812+0.00320460i, +0.00301243-0.00273715i, -0.00072773-0.00126265i, +0.00359775-0.00039117i, +0.00123056+0.00390143i, -0.00471967-0.00176406i, +0.00084702-0.00515795i, +0.00213737+0.00065164i, -0.00129673+0.00174902i, -0.00400170-0.00319055i, -0.00185691+0.00045065i, +0.00075174-0.00284202i, -0.00025866+0.00386529i, -0.00459528-0.00630586i, -0.00422760-0.00256849i, +0.00154226+0.00170233i, +0.00184737-0.00131465i, +0.00108984+0.00047329i, -0.00414805-0.00058473i, -0.00181573+0.00128359i, -0.00100476-0.00119864i, +0.00100887+0.00251633i, +0.00200374-0.00144078i, +0.00199185-0.00034681i, +0.00122188-0.00118776i
+0.00222481-0.00080478i, +0.00200725+0.00071518i, +0.00074111+0.00013324i, -0.00066833-0.00117067i, +0.00408006-0.00100135i, +0.01693635+0.00000000i, -0.00304867+0.00048287i, +0.00081867+0.00249791i, +0.00100603-0.00198896i, -0.00171738+0.00299869i, +0.00023407+0.00116425i, +0.00106846+0.00219222i, -0.00027310+0.00022776i, -0.00125433-0.00094890i, -0.00005371-0.00159980i, -0.00192690-0.00147266i, -0.00192591-0.00054195i, -0.00334689+0.00120223i, +0.00099979-0.00290709i, +0.00085459+0.00073068i, -0.00133050-0.00075215i, -0.00038000+0.00305081i, +0.00055090-0.00130779i, -0.00002633+0.00292648i, -0.00083440-0.00069822i, +0.00017845+0.00105309i, -0.00178890+0.00051065i, -0.00077866+0.00015861i, +0.00309260-0.00035561i, -0.00052292+0.00310680i, -0.00081404+0.00009152i, -0.00142756-0.00174147i, -0.00102422-0.00087041i, -0.00160994+0.00094290i, -0.00089633-0.00240971i, +0.00169635-0.00046104i, -0.00169374-0.00028840i, +0.00228984+0.00001971i, -0.00144667+0.00027900i, +0.00053406+0.00238453i, +0.00009830-0.00211654i, +0.00051127-0.00116243i, +0.00242942-0.00063089i, +0.00153764+0.00177650i, -0.00282208+0.00072233i, -0.00129892-0.00353035i, +0.00156865-0.00005623i, -0.00004148+0.00154058i, -0.00320082-0.00071431i, -0.00169949+0.00005477i, -0.00026364-0.00196559i, +0.00045860+0.00218252i, -0.00216592-0.00216097i, -0.00554217-0.00311034i, +0.00180840+0.00119402i, +0.00041643-0.00065170i, +0.00108944-0.00003126i, -0.00263651+0.00089123i, -0.00113695+0.00124303i, -0.00111361-0.00024475i, +0.00130322+0.00040596i, +0.00053533-0.00165506i, +0.00116510-0.00047593i, +0.00000319-0.00172036i
-0.00154617+0.00071283i, -0.00150675-0.00118371i, -0.00093455+0.00033329i, +0.00021249+0.00146518i, -0.00393138+0.00100190i, -0.00304867-0.00048287i, +0.01383640+0.00000000i, +0.00105661-0.00206194i, -0.00011887+0.00103155i, +0.00255840-0.00104537i, -0.00021281-0.00080704i, -0.00021810-0.00177177i, +0.00016550-0.00029353i, +0.00030224+0.00078151i, +0.00009210+0.00084807i, +0.00124226+0.00156265i, +0.00161136+0.00025327i, +0.00286253-0.00063213i, -0.00103658+0.00208454i, -0.00079769-0.00001314i, +0.00091860+0.00149399i, +0.00008915-0.00231992i, -0.00117060+0.00075249i, -0.00043940-0.00193138i, -0.00019991+0.00082174i, +0.00006947-0.00092690i, +0.00216408-0.00098288i, +0.00089758-0.00001617i, -0.00270293+0.00038389i, +0.00077785-0.00209867i, +0.00202825+0.00032217i, +0.00075170+0.00145956i, +0.00008540+0.00072051i, +0.00131266-0.00034775i, -0.00034677+0.00207823i, -0.00141477+0.00070707i, +0.00085680+0.00086999i, -0.00061773-0.00098907i, +0.00212625-0.00123890i, +0.00072492-0.00226390i, -0.00044296+0.00114185i, +0.00018814+0.00113103i, -0.00316271+0.00101566i, -0.00125371-0.00210909i, +0.00227614-0.00014257i, +0.00012620+0.00305154i, -0.00234010-0.00105718i, +0.00003669-0.00153625i, +0.00234745+0.00163682i, +0.00034185-0.00076480i, +0.00053465+0.00133332i, -0.00015044-0.00177043i, +0.00164872+0.00177950i, +0.00266340+0.00118011i, -0.00273369-0.00337904i, -0.00086910+0.00059783i, -0.00058663+0.00009491i, +0.00231402-0.00024928i, +0.00072922-0.00025995i, +0.00084752+0.00073717i, -0.00101683-0.00117673i, -0.00080376+0.00104996i, -0.00087071+0.00051870i, -0.00035931+0.00139212i
-0.00239318+0.00014296i, +0.00069388+0.00017212i, -0.00064538-0.00149087i, -0.00046273+0.00166416i, -0.00178268-0.00193681i, +0.00081867-0.00249791i, +0.00105661+0.00206194i, +0.01549376+0.00000000i, -0.00053045-0.00128752i, +0.00267451+0.00220472i, +0.00147891+0.00054692i, +0.00128249-0.00076996i, -0.00018691+0.00091366i, -0.00137387+0.00139908i, -0.00072851-0.00099390i, +0.00009380+0.00200082i, +0.00011453+0.00174909i, +0.00129457+0.00258208i, -0.00263541+0.00015719i, -0.00038966+0.00000469i, -0.00010812+0.00151621i, +0.00308275-0.00148541i, -0.00118698-0.00013782i, +0.00100658-0.00059247i, -0.00099434+0.00109676i, +0.00078485-0.00095470i, +0.00114870+0.00082276i, +0.00138090-0.00040703i, +0.00007342-0.00208110i, +0.00327157-0.00083604i, +0.00059726+0.00125428i, -0.00069506+0.00264259i, -0.00065375+0.00084489i, +0.00119047+0.00131364i, -0.00269984+0.00151163i, -0.00143184-0.00144636i, +0.00060636+0.00132870i, +0.00063175-0.00130606i, +0.00039211+0.00130528i, +0.00354553-0.00198521i, -0.00244557+0.00041091i, -0.00063916+0.00053205i, -0.00168468-0.00143002i, +0.00024001-0.00123349i, +0.00124567+0.00194651i, -0.00210334+0.00195323i, -0.00075884-0.00141601i, +0.00102779-0.00117631i, -0.00007839+0.00361955i, +0.00070157+0.00012808i, -0.00219990+0.00092453i, +0.00248614-0.00147192i, -0.00132761+0.00326660i, -0.00059966+0.00259416i, +0.00076335-0.00187004i, -0.00305787-0.00272907i, +0.00015668-0.00124853i, +0.00108494+0.00285688i, +0.00125393+0.00066855i, -0.00031936+0.00096700i, +0.00066584-0.00131240i, -0.00236545-0.00053053i, -0.00036122-0.00129656i, -0.00102191-0.00041201i
+0.00054420+0.00017287i, -0.00019867+0.00123811i, +0.00042050+0.00064529i, +0.00011745+0.00042133i, +0.00086955+0.00178824i, +0.00100603+0.00198896i, -0.00011887-0.00103155i, -0.00053045+0.00128752i, +0.01366478-0.00000000i, -0.00039199-0.00031934i, -0.00002339+0.00157789i, -0.00114432+0.00088044i, -0.00033086-0.00006441i, -0.00021720-0.00132342i, +0.00054058-0.00007067i, +0.00031684-0.00047950i, +0.00004922-0.00055683i, -0.00067184-0.00054364i, +0.00137481-0.00111686i, +0.00052114+0.00059948i, -0.00083834-0.00098571i, -0.00037339+0.00081835i, +0.00038263+0.00019681i, -0.00067279+0.00141899i, -0.00003206-0.00023224i, +0.00031275+0.00014834i, -0.00000936-0.00072193i, +0.00007310-0.00023200i, +0.00086808+0.00115895i, -0.00076817-0.00009204i, -0.00068373-0.00050663i, +0.00039384-0.00069291i, +0.00076854-0.00063964i, -0.00081986-0.00060802i, +0.00072716-0.00100496i, +0.00084661+0.00078570i, -0.00148922-0.00080353i, +0.00032772+0.00007382i, -0.00027097-0.00048633i, -0.00036389+0.00125339i, +0.00245000-0.00148889i, +0.00028382-0.00009424i, +0.00064286+0.00036231i, +0.00019634+0.00113344i, -0.00090493-0.00047509i, +0.00171289-0.00034304i, +0.00025967+0.00029934i, -0.00051930+0.00079120i, -0.00019480-0.00067941i, -0.00010583-0.00021185i, +0.00103305-0.00081901i, -0.00035278+0.00062767i, +0.00011710-0.00177922i, +0.00023502-0.00173326i, -0.00004872+0.00050919i, +0.00088270+0.00036327i, +0.00261099+0.00297820i, -0.00086156-0.00084602i, -0.00048711+0.00004543i, +0.00026416-0.00045481i, -0.00036253+0.00135189i, +0.00075301-0.00094048i, +0.00095215+0.00057553i, +0.00103880+0.00010417i
-0.00198826+0.00099897i, -0.00141310-0.00110764i, -0.00079005-0.00104903i, +0.00026412+0.00172626i, -0.00454827-0.00106072i, -0.00171738-0.00299869i, +0.00255840+0.00104537i, +0.00267451-0.00220472i, -0.00039199+0.00031934i, +0.01684519-0.00000000i, +0.00188986-0.00033650i, +0.00026868-0.00300845i, +0.00000524+0.00007423i, -0.00009710+0.00256449i, -0.00091614+0.00055954i, +0.00016338+0.00317074i, +0.00164979+0.00211163i, +0.00425859+0.00157070i, -0.00268152+0.00192487i, -0.00035248+0.00019864i, +0.00075753+0.00215410i, +0.00216594-0.00339924i, -0.00181922+0.00077106i, +0.00130538-0.00124164i, -0.00037659+0.00175397i, +0.00087250-0.00145759i, +0.00232746+0.00055681i, +0.00056123+0.00044009i, -0.00176024-0.00173129i, +0.00219699-0.00159118i, +0.00121915-0.00000932i, -0.00089203+0.00247316i, -0.00018113+0.00154241i, +0.00323434+0.00066160i, -0.00179279+0.00313170i, -0.00220306-0.00072316i, +0.00063645+0.00159494i, -0.00129491-0.00232935i, +0.00113010+0.00078581i, +0.00189447-0.00241189i, -0.00257018+0.00123033i, +0.00143535+0.00051118i, -0.00276892-0.00097541i, +0.00030725-0.00310532i, +0.00308755+0.00225533i, -0.00132716+0.00443784i, -0.00125159-0.00149680i, +0.00147584-0.00097556i, +0.00213934+0.00359687i, +0.00147547+0.00014049i, -0.00111007+0.00195640i, +0.00069130-0.00254308i, +0.00101876+0.00330700i, +0.00173798+0.00267293i, -0.00035839-0.00176208i, -0.00120697+0.00030661i, -0.00052900-0.00067154i, +0.00471075+0.00351251i, +0.00261026-0.00020077i, +0.00030564+0.00108203i, -0.00100201-0.00203798i, -0.00283363+0.00096006i, -0.00147055-0.00050302i, -0.00164582+0.00048876i
-0.00067972-0.00079753i, +0.00027110-0.00076668i, +0.00020965-0.00061924i, +0.00009892+0.00072561i, -0.00006993-0.00080888i, +0.00023407-0.00116425i, -0.00021281+0.00080704i, +0.00147891-0.00054692i, -0.00002339-0.00157789i, +0.00188986+0.00033650i, +0.01292677-0.00000000i, +0.00136017-0.00011831i, -0.00134568+0.00069868i, -0.00076183+0.00025489i, -0.00103217+0.00013153i, -0.00054437+0.00136185i, -0.00028056+0.00138575i, +0.00088728+0.00218603i, -0.00108597+0.00024036i, +0.00057971-0.00118787i, -0.00005626+0.00176344i, +0.00214564-0.00037083i, -0.00005876-0.00035496i, +0.00147829+0.00012712i, -0.00052713+0.00116519i, +0.00030015-0.00015142i, +0.00050808+0.00061025i, +0.00034016+0.00029739i, +0.00061245-0.00164167i, +0.00120995-0.00034736i, +0.00023058+0.00068073i, -0.00064074+0.00002820i, -0.00040423+0.00049832i, -0.00026229+0.00090844i, -0.00108780+0.00000528i, -0.00039316-0.00065003i, +0.00005150+0.00047586i, +0.00007910-0.00052276i, +0.00083401+0.00060482i, +0.00147290-0.00012298i, -0.00093602-0.00042997i, -0.00079010+0.00018046i, +0.00082920-0.00200999i, +0.00154707-0.00107268i, +0.00002716+0.00128236i, -0.00138665+0.00027708i, +0.00058380-0.00075972i, +0.00118786+0.00049918i, -0.00049012+0.00164331i, -0.00007924+0.00046646i, -0.00094045+0.00031687i, +0.00114221-0.00029008i, -0.00110555+0.00119219i, -0.00110953+0.00151059i, +0.00035258-0.00027595i, -0.00035885+0.00001969i, +0.00015442-0.00081032i, +0.00048965+0.00221026i, +0.00250865+0.00277370i, +0.00001983+0.00013508i, +0.00010542-0.00069843i, -0.00198257-0.00045708i, -0.00059937-0.00164885i, -0.00087427-0.00080074i
