+0.01683185-0.00000000i, -0.00040778+0.00051927i, -0.00048139-0.00048342i, -0.00008264+0.00010302i, +0.00049048+0.00120926i, -0.00050041-0.00079872i, +0.00025259+0.00050142i, +0.00021764-0.00002641i, -0.00143125-0.00040680i, +0.00006804-0.00030791i, -0.00000517-0.00006870i, -0.00029316+0.00057100i, +0.00019823-0.00043682i, -0.00010981-0.00024570i, -0.00038186+0.00020930i, -0.00048493+0.00000909i, -0.00019656-0.00020744i, +0.00037834+0.00028009i, -0.00043939-0.00042482i, +0.00072389-0.00008100i, -0.00067575+0.00015305i, +0.00080320+0.00011457i, +0.00102791-0.00015613i, +0.00040530-0.00041307i, -0.00002716+0.00037496i, +0.00030318-0.00076412i, +0.00023331-0.00055044i, -0.00020227+0.00057589i, +0.00097626+0.00099964i, +0.00013340+0.00053808i, -0.00044956+0.00078103i, +0.00021261+0.00109686i, -0.00041815+0.00064700i, +0.00045315-0.00007908i, -0.00011068-0.00000402i, -0.00061583+0.00031653i, +0.00026140-0.00005621i, +0.00044342-0.00021727i, +0.00024323+0.00023956i, +0.00041018+0.00007455i, +0.00112042+0.00114461i, -0.00009023-0.00119855i, -0.00060329-0.00009098i, -0.00021464+0.00000443i, +0.00090689-0.00045706i, -0.00009537+0.00019774i, +0.00014803-0.00019643i, +0.00039221-0.00027816i, -0.00001372+0.00053125i, -0.00018906-0.00079883i, -0.00002856-0.00029053i, +0.00031788-0.00031025i, -0.00032777-0.00076563i, +0.00040623+0.00023047i, +0.00053941+0.00024684i, -0.00026661+0.00018163i, -0.00141164-0.00015122i, -0.00049283-0.00034338i, +0.00001338+0.00036784i, -0.00020291-0.00046872i, +0.00043579+0.00001461i, +0.00031264-0.00056851i, +0.00043344+0.00063622i, +0.00028580-0.00015626i
-0.00040778-0.00051927i, +0.01493648-0.00000000i, +0.00025428+0.00037001i, -0.00086908+0.00014284i, +0.00090893-0.00175918i, -0.00054351+0.00062237i, +0.00111007-0.00012740i, +0.00067638-0.00020902i, -0.00040907+0.00141646i, -0.00159254+0.00011515i, +0.00008975+0.00046692i, +0.00155964+0.00027169i, -0.00118335+0.00004956i, -0.00051615+0.00044505i, +0.00007671+0.00054228i, +0.00036722+0.00008568i, -0.00079230+0.00162247i, +0.00101786+0.00046851i, -0.00004833+0.00093451i, -0.00093648-0.00126631i, +0.00094487+0.00059255i, -0.00038010-0.00117986i, -0.00082447-0.00037281i, -0.00065025-0.00006027i, +0.00128510-0.00054208i, -0.00009867-0.00095665i, -0.00061738+0.00062131i, +0.00046074+0.00035506i, +0.00137494-0.00145874i, +0.00099708-0.00100465i, +0.00047362+0.00097954i, +0.00084535-0.00094300i, +0.00048747+0.00126809i, +0.00068968+0.00068744i, +0.00033203+0.00012047i, +0.00041474+0.00021541i, +0.00076916-0.00049157i, -0.00001882-0.00147577i, -0.00035873-0.00004314i, +0.00026459-0.00101600i, +0.00016398-0.00155684i, -0.00080744+0.00080931i, -0.00008085+0.00103934i, +0.00045918-0.00015041i, +0.00052562-0.00043994i, +0.00049038-0.00106518i, -0.00018366+0.00026220i, -0.00025038-0.00027771i, +0.00023161-0.00018245i, -0.00056899+0.00071149i, -0.00017840+0.00006346i, -0.00047502+0.00007568i, -0.00066006+0.00071160i, +0.00003216-0.00144529i, +0.00001232-0.00069142i, +0.00061952+0.00040087i, -0.00017329+0.00171554i, -0.00073580+0.00108719i, +0.00011051-0.00008135i, -0.00032283-0.00015479i, -0.00033387-0.00072647i, -0.00112690+0.00044216i, +0.00023611-0.00120130i, -0.00092165-0.00063539i
-0.00048139+0.00048342i, +0.00025428-0.00037001i, +0.01483138-0.00000000i, +0.00037487-0.00020632i, -0.00053092-0.00164795i, +0.00012026+0.00053272i, +0.00002621-0.00105147i, -0.00002855-0.00063624i, +0.00132435+0.00088303i, +0.00020100+0.00022427i, -0.00073267-0.00051254i, +0.00042658-0.00084037i, +0.00010731+0.00117394i, +0.00035541-0.00016231i, +0.00058732+0.00001334i, +0.00072089-0.00029473i, +0.00089645+0.00089049i, +0.00025156-0.00071333i, +0.00156380+0.00090912i, -0.00104444+0.00033050i, +0.00037500-0.00047716i, -0.00071487+0.00005916i, -0.00077636+0.00062567i, -0.00022174+0.00016481i, -0.00008532-0.00054396i, -0.00018736-0.00029205i, +0.00006195+0.00009036i, +0.00011686-0.00049535i, -0.00133473-0.00064064i, -0.00057575-0.00076769i, +0.00080374-0.00089132i, -0.00047924-0.00060661i, +0.00081370-0.00064175i, -0.00026746+0.00007335i, +0.00056477-0.00020601i, +0.00053638-0.00022937i, +0.00012327-0.00044227i, -0.00048461+0.00025022i, -0.00056829+0.00085717i, -0.00045328-0.00041361i, -0.00078767-0.00054274i, +0.00018653+0.00104364i, +0.00109128+0.00021537i, +0.00041679-0.00017969i, -0.00009731-0.00049496i, -0.00000431-0.00035044i, -0.00004821+0.00055916i, +0.00003777+0.00007354i, -0.00027607-0.00014832i, +0.00015174+0.00115451i, +0.00007108+0.00076360i, -0.00023082+0.00024575i, +0.00013079+0.00050067i, -0.00039627-0.00004006i, -0.00099582+0.00028907i, +0.00041646-0.00024263i, +0.00094827+0.00001530i, +0.00043956+0.00031207i, -0.00062151-0.00045620i, -0.00018401+0.00022710i, -0.00031244+0.00014295i, +0.00003639+0.00034919i, -0.00054811-0.00040116i, -0.00051426+0.00035497i
-0.00008264-0.00010302i, -0.00086908-0.00014284i, +0.00037487+0.00020632i, +0.01521139-0.00000000i, -0.00016367+0.00046233i, +0.00051177+0.00055354i, -0.00039030+0.00017975i, -0.00025671-0.00067483i, -0.00002246-0.00080256i, +0.00011378+0.00003225i, -0.00022490-0.00014367i, -0.00114924-0.00015240i, +0.00073778-0.00052120i, -0.00020838+0.00010602i, +0.00018544-0.00001210i, -0.00012323-0.00033555i, +0.00057668-0.00029529i, +0.00009880-0.00017435i, -0.00004012-0.00059996i, +0.00156021+0.00166855i, -0.00067978-0.00035839i, +0.00023865+0.00023231i, +0.00023060-0.00001030i, -0.00036290+0.00062036i, -0.00045888+0.00010517i, +0.00000372+0.00037837i, +0.00024928-0.00008946i, -0.00057563-0.00050333i, -0.00071053+0.00059171i, -0.00015402+0.00015986i, -0.00027992-0.00033007i, -0.00012022+0.00002725i, -0.00036440-0.00026195i, -0.00028904-0.00000339i, -0.00011378+0.00015027i, +0.00030221+0.00058779i, -0.00033909+0.00012654i, +0.00000439+0.00018590i, +0.00015864+0.00007587i, -0.00069191+0.00116580i, -0.00000832+0.00090772i, +0.00040512+0.00009212i, -0.00009319-0.00062075i, +0.00002978+0.00022052i, -0.00029645+0.00018959i, -0.00020929+0.00036535i, +0.00009306-0.00032182i, -0.00028753+0.00080698i, +0.00045604-0.00013054i, -0.00021825-0.00012339i, +0.00007577-0.00014886i, +0.00015119+0.00084776i, +0.00023156+0.00002134i, +0.00010260+0.00043200i, -0.00006191+0.00031332i, -0.00071267+0.00041909i, +0.00034447-0.00043922i, +0.00032677-0.00038053i, -0.00015064+0.00027935i, -0.00047773+0.00000608i, -0.00019232+0.00009797i, +0.00025826-0.00006667i, -0.00008798+0.00033818i, +0.00097481+0.00002105i
+0.00049048-0.00120926i, +0.00090893+0.00175918i, -0.00053092+0.00164795i, -0.00016367-0.00046233i, +0.01940235-0.00000000i, -0.00073513-0.00034256i, +0.00117307+0.00120134i, +0.00093853+0.00034182i, -0.00269539+0.00066078i, -0.00086435-0.00100714i, -0.00014109+0.00078308i, +0.00148140+0.00193867i, -0.00094710-0.00119358i, +0.00007760+0.00027953i, -0.00134781+0.00099573i, -0.00009732+0.00094429i, -0.00254375+0.00085130i, +0.00086122+0.00061120i, -0.00119389+0.00082947i, +0.00090231-0.00212361i, +0.00084295+0.00225461i, +0.00143519-0.00109961i, -0.00009772-0.00155656i, -0.00025119-0.00095928i, +0.00134578+0.00094928i, +0.00084080-0.00041147i, -0.00143344-0.00016641i, -0.00023878+0.00033297i, +0.00369894+0.00026399i, +0.00236959+0.00087187i, -0.00036659+0.00190841i, +0.00167904+0.00008519i, -0.00142020+0.00292258i, +0.00009171-0.00035452i, +0.00094410+0.00090637i, +0.00008247+0.00040043i, +0.00186717+0.00165238i, +0.00105312-0.00128373i, -0.00008090-0.00018522i, +0.00196510-0.00006232i, +0.00287504-0.00117393i, -0.00186658-0.00111346i, -0.00152070+0.00123808i, +0.00055456+0.00093928i, +0.00085835+0.00001466i, +0.00087599+0.00052243i, -0.00085648+0.00015749i, -0.00000351-0.00027855i, +0.00057702-0.00013967i, -0.00115039-0.00057103i, -0.00058341-0.00017669i, -0.00041730-0.00034681i, -0.00124800+0.00028636i, +0.00056806-0.00077359i, +0.00117395-0.00066303i, +0.00012985+0.00093021i, -0.00238763+0.00161287i, -0.00166603+0.00029650i, +0.00028746+0.00023479i, -0.00013142-0.00061117i, +0.00077969-0.00104683i, -0.00088732-0.00135008i, +0.00154471-0.00097118i, +0.00015482-0.00178731i
-0.00050041+0.00079872i, -0.00054351-0.00062237i, +0.00012026-0.00053272i, +0.00051177-0.00055354i, -0.00073513+0.00034256i, +0.01457037+0.00000000i, -0.00067925+0.00014373i, +0.00007136+0.00004122i, +0.00028982-0.00031660i, +0.00004777+0.00023919i, +0.00012241-0.00020941i, -0.00050774-0.00023836i, +0.00074003+0.00033919i, +0.00034481-0.00035495i, +0.00028160-0.00072083i, -0.00025772-0.00066344i, +0.00094834-0.00046296i, -0.00015484-0.00005197i, +0.00031465-0.00021484i, +0.00007921+0.00072831i, -0.00039675-0.00017864i, +0.00069634+0.00142242i, +0.00027420+0.00017598i, +0.00064723+0.00026304i, -0.00041853+0.00020306i, +0.00008256+0.00077670i, +0.00072333-0.00066272i, -0.00010307-0.00044348i, -0.00078352+0.00061972i, -0.00035784+0.00069138i, -0.00016940-0.00061282i, -0.00070240+0.00039755i, -0.00034263-0.00034795i, -0.00084191+0.00127309i, -0.00019942-0.00007616i, -0.00047531-0.00029737i, -0.00032901+0.00012716i, +0.00110641+0.00132228i, +0.00021194-0.00027526i, -0.00044964+0.00049622i, -0.00080924+0.00059773i, +0.00171296-0.00056051i, +0.00033957-0.00073751i, -0.00032128-0.00011500i, -0.00030120+0.00053313i, -0.00036332+0.00009862i, +0.00002108-0.00002564i, +0.00008796+0.00031762i, -0.00024578-0.00000092i, +0.00021732+0.00064749i, +0.00009406-0.00018707i, +0.00047006-0.00013418i, +0.00042756-0.00020197i, +0.00010148+0.00095125i, -0.00020153+0.00017691i, -0.00009508-0.00026663i, +0.00052393-0.00071210i, +0.00005933-0.00045375i, -0.00012940-0.00011724i, +0.00038608+0.00013571i, -0.00018024+0.00033922i, +0.00075027+0.00031852i, -0.00036563+0.00065449i, +0.00035189+0.00054215i
+0.00025259-0.00050142i, +0.00111007+0.00012740i, +0.00002621+0.00105147i, -0.00039030-0.00017975i, +0.00117307-0.00120134i, -0.00067925-0.00014373i, +0.01539099+0.00000000i, +0.00116353-0.00063156i, -0.00056576+0.00151632i, -0.00055623+0.00000377i, +0.00062770+0.00007944i, +0.00132841+0.00052739i, -0.00144293-0.00032224i, -0.00014114+0.00004857i, +0.00005942+0.00039474i, +0.00028682+0.00040245i, -0.00087461+0.00179510i, +0.00018397+0.00001949i, -0.00092854+0.00066469i, -0.00006266-0.00140156i, +0.00060766+0.00093856i, +0.00027914-0.00111113i, -0.00054810+0.00017731i, -0.00032037-0.00030597i, +0.00134837-0.00043646i, +0.00029842-0.00082778i, -0.00077287+0.00071446i, +0.00039953+0.00056972i, +0.00162098-0.00088291i, +0.00084600-0.00060445i, +0.00107571+0.00174157i, +0.00099498-0.00094173i, +0.00066367+0.00114599i, +0.00016483-0.00020731i, +0.00127418-0.00033519i, +0.00003557+0.00019673i, +0.00062746-0.00021512i, -0.00043012-0.00094593i, +0.00015552+0.00080115i, +0.00136318-0.00081448i, +0.00092473-0.00130928i, -0.00132699+0.00025273i, -0.00073739+0.00199491i, +0.00073374+0.00022656i, +0.00069822-0.00032362i, +0.00010418-0.00020854i, -0.00069554+0.00022092i, -0.00035610-0.00028129i, +0.00011190-0.00019172i, -0.00051926+0.00025415i, -0.00055673-0.00047289i, -0.00071519-0.00014508i, -0.00100073+0.00051653i, -0.00027175-0.00070076i, +0.00027904-0.00025711i, +0.00041605+0.00085372i, -0.00065512+0.00125733i, -0.00085681+0.00072057i, +0.00067349+0.00016908i, -0.00051305-0.00004571i, +0.00011925-0.00057903i, -0.00088407+0.00007077i, +0.00053926-0.00181974i, -0.00046162-0.00107414i
+0.00021764+0.00002641i, +0.00067638+0.00020902i, -0.00002855+0.00063624i, -0.00025671+0.00067483i, +0.00093853-0.00034182i, +0.00007136-0.00004122i, +0.00116353+0.00063156i, +0.01512770+0.00000000i, -0.00045060+0.00037151i, -0.00032948-0.00030026i, +0.00035646-0.00000973i, +0.00110720-0.00003788i, -0.00069157+0.00011637i, +0.00010544+0.00009708i, -0.00007221+0.00069924i, +0.00099028+0.00050471i, -0.00041501+0.00103729i, +0.00027726-0.00023546i, -0.00017320+0.00057018i, -0.00089919-0.00090075i, +0.00050436+0.00035335i, +0.00034740-0.00053646i, -0.00055390-0.00030410i, -0.00005165+0.00029682i, +0.00090508-0.00007202i, +0.00015401-0.00039529i, -0.00015271+0.00025599i, -0.00018305+0.00072748i, +0.00077612-0.00063283i, +0.00075690-0.00032990i, +0.00028991+0.00058662i, +0.00075319+0.00012519i, +0.00040803+0.00063522i, -0.00029796-0.00036778i, +0.00031031+0.00009484i, +0.00073274-0.00014715i, +0.00070456-0.00026405i, -0.00010529-0.00060565i, -0.00048827+0.00013772i, +0.00121637+0.00069508i, +0.00047239-0.00096613i, -0.00051359+0.00001787i, +0.00002906+0.00054971i, -0.00027948+0.00070131i, +0.00030711-0.00018263i, -0.00000525-0.00036451i, -0.00013861+0.00043324i, -0.00060243-0.00016305i, -0.00008499-0.00022704i, -0.00048336-0.00006666i, -0.00008639-0.00000708i, -0.00026024-0.00085304i, -0.00057343+0.00064908i, -0.00006310-0.00029503i, -0.00020983-0.00041255i, +0.00050161+0.00121874i, -0.00003841+0.00111076i, -0.00028059+0.00050038i, +0.00011768-0.00001721i, -0.00004323+0.00013527i, -0.00012052-0.00027303i, -0.00066835+0.00019021i, -0.00000512-0.00066014i, -0.00034360-0.00075262i
-0.00143125+0.00040680i, -0.00040907-0.00141646i, +0.00132435-0.00088303i, -0.00002246+0.00080256i, -0.00269539-0.00066078i, +0.00028982+0.00031660i, -0.00056576-0.00151632i, -0.00045060-0.00037151i, +0.01876769-0.00000000i, +0.00097815+0.00073382i, -0.00008560-0.00018546i, -0.00102165-0.00189769i, +0.00057939+0.00235093i, +0.00031724-0.00002801i, +0.00058388-0.00065322i, -0.00001108-0.00059127i, +0.00254591+0.00005729i, -0.00023691-0.00098689i, +0.00134377-0.00018198i, -0.00124227+0.00203067i, +0.00058464-0.00127484i, -0.00120700+0.00081836i, -0.00002497+0.00102515i, -0.00007463-0.00019976i, -0.00113910-0.00094848i, -0.00058079+0.00008174i, +0.00100238-0.00027824i, -0.00007560-0.00089226i, -0.00248733-0.00073290i, -0.00219589-0.00020947i, +0.00044677-0.00150802i, -0.00185419-0.00026917i, +0.00118048-0.00171876i, +0.00002585+0.00015879i, -0.00043578-0.00066539i, -0.00001404-0.00035113i, -0.00113297-0.00049667i, -0.00076088+0.00129435i, -0.00000224+0.00019433i, -0.00143152-0.00013555i, -0.00187689+0.00089756i, +0.00183742+0.00132270i, +0.00128319-0.00065288i, -0.00027786-0.00072514i, -0.00018477-0.00133714i, -0.00077106-0.00058498i, +0.00024232+0.00011606i, -0.00043724+0.00035652i, -0.00048141+0.00004387i, +0.00086022+0.00088837i, +0.00049009+0.00013013i, -0.00010152+0.00067423i, +0.00110087+0.00074608i, -0.00089754+0.00029919i, -0.00087188+0.00019697i, -0.00019315-0.00098939i, +0.00215810-0.00131906i, +0.00159442+0.00020112i, -0.00037156-0.00054746i, +0.00020725+0.00059006i, -0.00074821+0.00127775i, +0.00076470+0.00105242i, -0.00167757+0.00046881i, -0.00061022+0.00192200i
+0.00006804+0.00030791i, -0.00159254-0.00011515i, +0.00020100-0.00022427i, +0.00011378-0.00003225i, -0.00086435+0.00100714i, +0.00004777-0.00023919i, -0.00055623-0.00000377i, -0.00032948+0.00030026i, +0.00097815-0.00073382i, +0.01488474+0.00000000i, -0.00007650-0.00062159i, -0.00090964-0.00037495i, +0.00027888+0.00017936i, -0.00026816+0.00041631i, -0.00026331-0.00013440i, -0.00066809+0.00014567i, +0.00043171-0.00117682i, -0.00003091-0.00050528i, +0.00014007-0.00056406i, +0.00037442+0.00075552i, -0.00088112-0.00051942i, -0.00024862+0.00066499i, +0.00069836-0.00023872i, +0.00030986-0.00022595i, -0.00056833+0.00050011i, -0.00026613-0.00015846i, +0.00034603-0.00040844i, -0.00039375-0.00006008i, -0.00108257+0.00088154i, -0.00073651+0.00091568i, -0.00053875-0.00061266i, -0.00049986+0.00098259i, -0.00054983-0.00067442i, +0.00044301+0.00021049i, -0.00037557+0.00016359i, -0.00024339-0.00023219i, -0.00081373+0.00028856i, +0.00050094+0.00101972i, +0.00023678+0.00003722i, -0.00030641+0.00059507i, +0.00006851+0.00138493i, +0.00120960+0.00000267i, +0.00013791-0.00050387i, -0.00031429+0.00003219i, -0.00034043+0.00023988i, +0.00016814-0.00025081i, -0.00003982-0.00018126i, +0.00042016+0.00040752i, +0.00002691+0.00018528i, +0.00075772-0.00031116i, +0.00033156-0.00011993i, +0.00033290-0.00018548i, +0.00024821-0.00053547i, +0.00004243+0.00115587i, +0.00004292+0.00033621i, -0.00064208-0.00021955i, -0.00008708-0.00110188i, +0.00076372-0.00117662i, -0.00032840-0.00003029i, +0.00016045+0.00016986i, +0.00021796+0.00074255i, +0.00068257+0.00028488i, +0.00029483+0.00087961i, +0.00086840+0.00034962i
-0.00000517+0.00006870i, +0.00008975-0.00046692i, -0.00073267+0.00051254i, -0.00022490+0.00014367i, -0.00014109-0.00078308i, +0.00012241+0.00020941i, +0.00062770-0.00007944i, +0.00035646+0.00000973i, -0.00008560+0.00018546i, -0.00007650+0.00062159i, +0.01506489-0.00000000i, +0.00092729-0.00010156i, -0.00030848-0.00043061i, -0.00003656-0.00055802i, -0.00004172-0.00076507i, -0.00000893+0.00024141i, +0.00008770+0.00022325i, +0.00020152-0.00026806i, -0.00021183-0.00013000i, -0.00051589-0.00017741i, +0.00055126-0.00002573i, +0.00004630-0.00028196i, -0.00027848+0.00019228i, -0.00008542-0.00003518i, +0.00003805-0.00013661i, -0.00004682-0.00017284i, -0.00004543-0.00030081i, -0.00007827+0.00011875i, +0.00014892-0.00046862i, +0.00032093-0.00009278i, +0.00053639-0.00014879i, +0.00002117-0.00025749i, +0.00053670+0.00022397i, -0.00013398-0.00001412i, +0.00060434-0.00000938i, +0.00014900-0.00008503i, +0.00001937-0.00006273i, -0.00037630+0.00004802i, +0.00030193-0.00053403i, -0.00002315-0.00008972i, -0.00023224+0.00010621i, +0.00017656+0.00004108i, +0.00046979+0.00064533i, +0.00011921+0.00005381i, +0.00006660-0.00026211i, +0.00015101+0.00021908i, -0.00069043+0.00069738i, -0.00029705-0.00018657i, -0.00009718-0.00003718i, -0.00007627+0.00006070i, -0.00014368+0.00022376i, +0.00039613+0.00018893i, -0.00016600+0.00070339i, -0.00057132-0.00001424i, +0.00004806-0.00069995i, +0.00024296-0.00004341i, +0.00005515+0.00051098i, -0.00011672+0.00008253i, +0.00010321-0.00076579i, +0.00018069-0.00028307i, -0.00040339-0.00003652i, -0.00001526+0.00003334i, -0.00030681-0.00056914i, -0.00016462-0.00011186i
