+0.05379157+0.00000000i, +0.04944065-0.03566404i, +0.01689668-0.01382534i, -0.02510545-0.00863310i, -0.00019982-0.04384903i, +0.05170213-0.01320179i, -0.00226984+0.02970828i, -0.02872201+0.05375327i, -0.01493260+0.00482879i, -0.05639216+0.01802571i, +0.03102800-0.01912652i, -0.00352916+0.01971957i, +0.03718527-0.00843515i, +0.04296979+0.01125603i, -0.00206652-0.03464226i, -0.00374959+0.03802416i, -0.00701145+0.06303266i, -0.02278328-0.02337942i, +0.03522437+0.01029944i, +0.02240694+0.03663067i, -0.01154385+0.01345477i, -0.00662070+0.03421279i, -0.00325711+0.00278345i, +0.00853765+0.03238848i, -0.02982509+0.00042022i, -0.00432594+0.03020541i, +0.02244628+0.02192460i, -0.03988756-0.05910425i, -0.01259018-0.00218468i, -0.00104187-0.05834980i, +0.01729057+0.00263855i, -0.00595082-0.04804127i
+0.04944065+0.03566404i, +0.06908707+0.00000000i, +0.02469626-0.00150451i, -0.01735102-0.02457984i, +0.02888843-0.04043479i, +0.05627305+0.02214477i, -0.02178296+0.02580042i, -0.06203748+0.03036262i, -0.01692629-0.00546216i, -0.06378201-0.02082054i, +0.04119926+0.00299222i, -0.01631787+0.01578470i, +0.03977009+0.01690112i, +0.03203138+0.03883474i, +0.02106859-0.03321034i, -0.02865649+0.03246259i, -0.04823525+0.05328565i, -0.00543980-0.03659379i, +0.02554668+0.03282028i, -0.00369174+0.04852370i, -0.01953069+0.00471286i, -0.02876841+0.02705594i, -0.00483910+0.00039884i, -0.01362662+0.03542924i, -0.02769130-0.01938793i, -0.02400236+0.02489414i, +0.00609461+0.03503321i, +0.00252511-0.08076923i, -0.01012337-0.01035531i, +0.03772857-0.05432095i, +0.01414265+0.01388886i, +0.02638208-0.04810087i
+0.01689668+0.01382534i, +0.02469626+0.00150451i, +0.00886083-0.00000000i, -0.00566712-0.00916430i, +0.01120717-0.01382495i, +0.01963344+0.00914145i, -0.00834852+0.00874840i, -0.02283748+0.00950261i, -0.00593162-0.00232114i, -0.02234647-0.00883161i, +0.01466216+0.00196681i, -0.00617682+0.00528714i, +0.01384839+0.00690764i, +0.01060442+0.01457963i, +0.00825452-0.01141275i, -0.01095065+0.01098021i, -0.01840285+0.01799737i, -0.00114764-0.01319949i, +0.00841734+0.01228845i, -0.00237637+0.01726516i, -0.00708418+0.00125937i, -0.01087291+0.00904508i, -0.00173850+0.00003719i, -0.00564259+0.01236799i, -0.00947648-0.00753355i, -0.00912214+0.00837610i, +0.00141570+0.01265589i, +0.00266155-0.02881724i, -0.00339325-0.00392213i, +0.01466962-0.01859626i, +0.00475306+0.00527277i, +0.01047818-0.01661989i
-0.02510545+0.00863310i, -0.01735102+0.02457984i, -0.00566712+0.00916430i, +0.01310269-0.00000000i, +0.00713067+0.02043302i, -0.02201149+0.01445927i, -0.00370856-0.01422966i, +0.00477810-0.02969722i, +0.00619432-0.00465024i, +0.02342621-0.01746338i, -0.01141165+0.01390641i, -0.00151771-0.00976986i, -0.01600123+0.00990476i, -0.02186124+0.00164291i, +0.00652428+0.01583648i, -0.00435257-0.01834831i, -0.00684386-0.03054370i, +0.01438555+0.00725505i, -0.01809279+0.00084630i, -0.01633662-0.01350004i, +0.00322833-0.00813226i, -0.00240088-0.01703026i, +0.00107343-0.00182182i, -0.00918275-0.01374604i, +0.01385244-0.00498281i, -0.00282873-0.01479166i, -0.01399478-0.00663014i, +0.02810195+0.02118335i, +0.00622667-0.00100099i, +0.00985092+0.02706564i, -0.00849327+0.00154354i, +0.01048757+0.02146663i
-0.00019982+0.04384903i, +0.02888843+0.04043479i, +0.01120717+0.01382495i, +0.00713067-0.02043302i, +0.03574495-0.00000000i, +0.01056958+0.04219482i, -0.02420873-0.00196066i, -0.04371110-0.02361287i, -0.00388079-0.01219047i, -0.01448445-0.04603589i, +0.01547601+0.02536400i, -0.01606160-0.00295011i, +0.00673791+0.03034348i, -0.00933515+0.03498567i, +0.02824685-0.00155587i, -0.03098205-0.00319779i, -0.05135599-0.00594965i, +0.01914273-0.01848529i, -0.00852660+0.02867542i, -0.02994329+0.01812928i, -0.01092498-0.00946013i, -0.02786448-0.00552405i, -0.00225688-0.00266542i, -0.02643368+0.00683928i, -0.00023176-0.02431394i, -0.02460634-0.00363856i, -0.01795555+0.01821598i, +0.04832791-0.03229539i, +0.00182764-0.01025496i, +0.04756861-0.00063254i, -0.00221509+0.01408487i, +0.03918368-0.00467244i
+0.05170213+0.01320179i, +0.05627305-0.02214477i, +0.01963344-0.00914145i, -0.02201149-0.01445927i, +0.01056958-0.04219482i, +0.05293389+0.00000000i, -0.00947282+0.02799724i, -0.04079874+0.04461621i, -0.01553767+0.00097639i, -0.05862565+0.00348550i, +0.03451689-0.01076854i, -0.00823175+0.01808745i, +0.03781107+0.00101869i, +0.03853818+0.02136466i, +0.00651582-0.03380381i, -0.01293602+0.03562694i, -0.02220888+0.05886347i, -0.01616041-0.02806287i, +0.03132840+0.01854431i, +0.01254650+0.04070703i, -0.01439758+0.01009899i, -0.01476019+0.03125897i, -0.00381372+0.00187596i, +0.00025708+0.03322575i, -0.02876971-0.00691592i, -0.01157107+0.02797044i, +0.01619355+0.02658185i, -0.02383254-0.06659784i, -0.01156496-0.00518976i, +0.01331909-0.05633900i, +0.01597138+0.00677960i, +0.00607085-0.04763566i
-0.00226984-0.02970828i, -0.02178296-0.02580042i, -0.00834852-0.00874840i, -0.00370856+0.01422966i, -0.02420873+0.00196066i, -0.00947282-0.02799724i, +0.01650322-0.00000000i, +0.03089911+0.01359451i, +0.00329698+0.00804329i, +0.01233491+0.03038391i, -0.01187258-0.01632922i, +0.01103974+0.00111700i, -0.00622772-0.02018093i, +0.00440334-0.02420654i, -0.01904520+0.00260311i, +0.02115840+0.00046634i, +0.03510786+0.00121253i, -0.01195072+0.01356940i, +0.00420186-0.01988850i, +0.01928507-0.01392072i, +0.00791798+0.00580774i, +0.01917458+0.00221283i, +0.00167470+0.00168140i, +0.01752741-0.00608191i, +0.00149061+0.01645422i, +0.01686454+0.00111458i, +0.01116146-0.01332190i, -0.03095926+0.02452332i, -0.00067530+0.00704555i, -0.03218176+0.00303759i, +0.00072762-0.00966066i, -0.02628137+0.00531374i
-0.02872201-0.05375327i, -0.06203748-0.03036262i, -0.02283748-0.00950261i, +0.00477810+0.02969722i, -0.04371110+0.02361287i, -0.04079874-0.04461621i, +0.03089911-0.01359451i, +0.06905111-0.00000000i, +0.01279861+0.01234363i, +0.04812347+0.04672717i, -0.03568029-0.02079330i, +0.02158992-0.00700261i, -0.02828422-0.03265484i, -0.01169570-0.04894934i, -0.03351417+0.02056229i, +0.03999918-0.01655609i, +0.06673153-0.02664983i, -0.01119764+0.03525050i, -0.00851595-0.04069867i, +0.02464040-0.04194993i, +0.01960903+0.00435145i, +0.03772354-0.01165194i, +0.00452060+0.00176856i, +0.02780674-0.02582540i, +0.01634503+0.02957947i, +0.03249374-0.01180532i, +0.00992379-0.03413693i, -0.03776420+0.07141787i, +0.00453940+0.01374772i, -0.05775194+0.03219701i, -0.00659563-0.01868711i, -0.04482962+0.03159822i
-0.01493260-0.00482879i, -0.01692629+0.00546216i, -0.00593162+0.00232114i, +0.00619432+0.00465024i, -0.00388079+0.01219047i, -0.01553767-0.00097639i, +0.00329698-0.00804329i, +0.01279861-0.01234363i, +0.00457878+0.00000000i, +0.01727266+0.00005829i, -0.01033036+0.00252420i, +0.00274990-0.00515736i, -0.01107988-0.00099646i, -0.01091802-0.00698202i, -0.00253612+0.00980224i, +0.00445426-0.01021895i, +0.00760474-0.01686852i, +0.00422593+0.00853537i, -0.00885376-0.00602117i, -0.00293191-0.01218015i, +0.00441240-0.00269878i, +0.00490914-0.00890318i, +0.00115404-0.00048030i, +0.00053741-0.00975749i, +0.00831720+0.00256070i, +0.00391238-0.00799672i, -0.00426297-0.00810126i, +0.00576712+0.01998805i, +0.00329893+0.00173667i, -0.00494875+0.01629149i, -0.00456302-0.00228461i, -0.00266064+0.01387050i
-0.05639216-0.01802571i, -0.06378201+0.02082054i, -0.02234647+0.00883161i, +0.02342621+0.01746338i, -0.01448445+0.04603589i, -0.05862565-0.00348550i, +0.01233491-0.03038391i, +0.04812347-0.04672717i, +0.01727266-0.00005829i, +0.06515893+0.00000000i, -0.03893741+0.00965363i, +0.01030787-0.01949029i, -0.04180966-0.00361794i, -0.04127525-0.02619951i, -0.00944229+0.03700956i, +0.01667287-0.03860597i, +0.02847285-0.06373045i, +0.01605024+0.03214445i, -0.03347594-0.02260116i, -0.01121517-0.04591023i, +0.01661067-0.01023687i, +0.01840558-0.03364821i, +0.00434732-0.00182656i, +0.00190307-0.03681531i, +0.03140782+0.00955393i, +0.01465700-0.03021608i, -0.01618446-0.03050637i, +0.02200994+0.07532811i, +0.01246676+0.00650930i, -0.01846095+0.06151989i, -0.01724231-0.00856024i, -0.00986026+0.05235798i
+0.03102800+0.01912652i, +0.04119926-0.00299222i, +0.01466216-0.00196681i, -0.01141165-0.01390641i, +0.01547601-0.02536400i, +0.03451689+0.01076854i, -0.01187258+0.01632922i, -0.03568029+0.02079330i, -0.01033036-0.00252420i, -0.03893741-0.00965363i, +0.02469830+0.00000000i, -0.00904732+0.01011977i, +0.02444843+0.00835630i, +0.02078351+0.02177134i, +0.01112564-0.02071710i, -0.01568298+0.02059983i, -0.02645668+0.03386539i, -0.00482887-0.02158668i, +0.01665594+0.01846554i, -0.00009992+0.02909644i, -0.01144278+0.00365635i, -0.01598389+0.01738048i, -0.00286847+0.00044743i, -0.00659160+0.02171799i, -0.01735309-0.01036243i, -0.01323534+0.01588489i, +0.00515177+0.02062768i, -0.00199237-0.04827515i, -0.00648545-0.00573682i, +0.02014630-0.03402772i, +0.00903534+0.00766993i, +0.01364935-0.02982703i
-0.00352916-0.01971957i, -0.01631787-0.01578470i, -0.00617682-0.00528714i, -0.00151771+0.00976986i, -0.01606160+0.00295011i, -0.00823175-0.01808745i, +0.01103974-0.00111700i, +0.02158992+0.00700261i, +0.00274990+0.00515736i, +0.01030787+0.01949029i, -0.00904732-0.01011977i, +0.00746058-0.00000000i, -0.00553192-0.01307841i, +0.00130721-0.01649087i, -0.01256400+0.00303038i, +0.01418536-0.00112012i, +0.02356729-0.00156511i, -0.00707594+0.00988605i, +0.00146469-0.01358870i, +0.01195844-0.01061748i, +0.00568978+0.00334914i, +0.01297651+0.00018246i, +0.00123409+0.00101141i, +0.01131322-0.00525478i, +0.00211082+0.01090607i, +0.01135688-0.00039586i, +0.00656473-0.00966706i, -0.01905021+0.01850018i, +0.00002513+0.00475879i, -0.02132222+0.00421016i, -0.00016713-0.00651170i, -0.01722113+0.00533342i
+0.03718527+0.00843515i, +0.03977009-0.01690112i, +0.01384839-0.00690764i, -0.01600123-0.00990476i, +0.00673791-0.03034348i, +0.03781107-0.00101869i, -0.00622772+0.02018093i, -0.02828422+0.03265484i, -0.01107988+0.00099646i, -0.04180966+0.00361794i, +0.02444843-0.00835630i, -0.00553192+0.01307841i, +0.02702833-0.00000000i, +0.02793926+0.01451929i, +0.00400376-0.02427171i, -0.00855467+0.02569753i, -0.01473117+0.04247401i, -0.01208355-0.01973451i, +0.02273498+0.01264344i, +0.00974544+0.02883588i, -0.01008995+0.00749086i, -0.00994175+0.02261256i, -0.00268806+0.00141341i, +0.00082304+0.02372845i, -0.02068351-0.00438643i, -0.00772702+0.02020217i, +0.01207873+0.01867597i, -0.01830540-0.04711268i, -0.00836081-0.00348452i, +0.00842971-0.04049968i, +0.01153894+0.00453536i, +0.00341973-0.03414333i
+0.04296979-0.01125603i, +0.03203138-0.03883474i, +0.01060442-0.01457963i, -0.02186124-0.00164291i, -0.00933515-0.03498567i, +0.03853818-0.02136466i, +0.00440334+0.02420654i, -0.01169570+0.04894934i, -0.01091802+0.00698202i, -0.04127525+0.02619951i, +0.02078351-0.02177134i, +0.00130721+0.01649087i, +0.02793926-0.01451929i, +0.03668048+0.00000000i, -0.00889977-0.02724050i, +0.00496141+0.03115908i, +0.00758886+0.05181891i, -0.02309194-0.01390849i, +0.03029311+0.00085660i, +0.02556418+0.02457260i, -0.00640601+0.01316352i, +0.00187037+0.02871526i, -0.00201940+0.00290504i, +0.01359742+0.02408604i, -0.02373694+0.00657666i, +0.00286491+0.02503390i, +0.02251832+0.01281686i, -0.04423070-0.03886708i, -0.01051444+0.00088936i, -0.01304212-0.04639298i, +0.01436418-0.00151037i, -0.01480640-0.03713110i
-0.00206652+0.03464226i, +0.02106859+0.03321034i, +0.00825452+0.01141275i, +0.00652428-0.01583648i, +0.02824685+0.00155587i, +0.00651582+0.03380381i, -0.01904520-0.00260311i, -0.03351417-0.02056229i, -0.00253612-0.00980224i, -0.00944229-0.03700956i, +0.01112564+0.02071710i, -0.01256400-0.00303038i, +0.00400376+0.02427171i, -0.00889977+0.02724050i, +0.02238932-0.00000000i, -0.02434386-0.00387555i, -0.04032424-0.00693698i, +0.01593183-0.01377446i, -0.00798615+0.02228913i, -0.02445130+0.01302302i, -0.00822151-0.00795124i, -0.02177900-0.00557815i, -0.00166744-0.00220454i, -0.02118647+0.00425404i, +0.00087517-0.01922377i, -0.01928637-0.00394635i, -0.01498196+0.01361332i, +0.03959604-0.02341732i, +0.00189063-0.00802426i, +0.03761783+0.00157067i, -0.00236351+0.01103392i, +0.03116762-0.00198677i
-0.00374959-0.03802416i, -0.02865649-0.03246259i, -0.01095065-0.01098021i, -0.00435257+0.01834831i, -0.03098205+0.00319779i, -0.01293602-0.03562694i, +0.02115840-0.00046634i, +0.03999918+0.01655609i, +0.00445426+0.01021895i, +0.01667287+0.03860597i, -0.01568298-0.02059983i, +0.01418536+0.00112012i, -0.00855467-0.02569753i, +0.00496141-0.03115908i, -0.02434386+0.00387555i, +0.02713987+0.00000000i, +0.04504524+0.00056251i, -0.01493831+0.01773472i, +0.00482512-0.02561732i, +0.02433158-0.01839238i, +0.01031558+0.00722223i, +0.02464582+0.00229520i, +0.00219461+0.00210836i, +0.02229963-0.00829275i, +0.00237603+0.02105345i, +0.02165313+0.00095243i, +0.01393341-0.01739509i, -0.03899919+0.03231561i, -0.00066670+0.00905202i, -0.04117366+0.00480380i, +0.00065989-0.01240627i, -0.03354458+0.00755527i
-0.00701145-0.06303266i, -0.04823525-0.05328565i, -0.01840285-0.01799737i, -0.00684386+0.03054370i, -0.05135599+0.00594965i, -0.02220888-0.05886347i, +0.03510786-0.00121253i, +0.06673153+0.02664983i, +0.00760474+0.01686852i, +0.02847285+0.06373045i, -0.02645668-0.03386539i, +0.02356729+0.00156511i, -0.01473117-0.04247401i, +0.00758886-0.05181891i, -0.04032424+0.00693698i, +0.04504524-0.00056251i, +0.07477521-0.00000000i, -0.02442619+0.02974470i, +0.00747751-0.04261819i, +0.04000298-0.03103094i, +0.01727090+0.01177325i, +0.04095332+0.00329863i, +0.00368618+0.00345385i, +0.03683980-0.01422604i, +0.00437996+0.03489409i, +0.03595839+0.00113199i, +0.02276536-0.02916018i, -0.06405889+0.05444394i, -0.00091893+0.01503786i, -0.06823816+0.00882645i, +0.00083811-0.02060491i, -0.05551882+0.01323506i
-0.02278328+0.02337942i, -0.00543980+0.03659379i, -0.00114764+0.01319949i, +0.01438555-0.00725505i, +0.01914273+0.01848529i, -0.01616041+0.02806287i, -0.01195072-0.01356940i, -0.01119764-0.03525050i, +0.00422593-0.00853537i, +0.01605024-0.03214445i, -0.00482887+0.02158668i, -0.00707594-0.00988605i, -0.01208355+0.01973451i, -0.02309194+0.01390849i, +0.01593183+0.01377446i, -0.01493831-0.01773472i, -0.02442619-0.02974470i, +0.01981119+0.00000000i, -0.01939563+0.01094726i, -0.02541118-0.00577610i, -0.00095848-0.01071603i, -0.01206572-0.01736829i, +0.00016977-0.00259456i, -0.01769310-0.01000734i, +0.01244969-0.01314086i, -0.01129593-0.01467361i, -0.01903614+0.00046972i, +0.04258274+0.00769713i, +0.00628206-0.00454675i, +0.02580184+0.02426108i, -0.00847017+0.00639744i, +0.02340062+0.01776135i
+0.03522437-0.01029944i, +0.02554668-0.03282028i, +0.00841734-0.01228845i, -0.01809279-0.00084630i, -0.00852660-0.02867542i, +0.03132840-0.01854431i, +0.00420186+0.01988850i, -0.00851595+0.04069867i, -0.00885376+0.00602117i, -0.03347594+0.02260116i, +0.01665594-0.01846554i, +0.00146469+0.01358870i, +0.02273498-0.01264344i, +0.03029311-0.00085660i, -0.00798615-0.02228913i, +0.00482512+0.02561732i, +0.00747751+0.04261819i, -0.01939563-0.01094726i, +0.02503802+0.00000000i, +0.02168640+0.01969664i, -0.00498309+0.01102089i, +0.00221527+0.02367124i, -0.00159991+0.00244633i, +0.01179211+0.01957427i, -0.01944992+0.00598577i, +0.00295065+0.02060771i, +0.01889640+0.01005912i, -0.03743624-0.03106603i, -0.00866273+0.00098004i, -0.01185445-0.03800975i, +0.01182760-0.00158281i, -0.01309521-0.03031949i
+0.02240694-0.03663067i, -0.00369174-0.04852370i, -0.00237637-0.01726516i, -0.01633662+0.01350004i, -0.02994329-0.01812928i, +0.01254650-0.04070703i, +0.01928507+0.01392072i, +0.02464040+0.04194993i, -0.00293191+0.01218015i, -0.01121517+0.04591023i, -0.00009992-0.02909644i, +0.01195844+0.01061748i, +0.00974544-0.02883588i, +0.02556418-0.02457260i, -0.02445130-0.01302302i, +0.02433158+0.01839238i, +0.04000298+0.03103094i, -0.02541118+0.00577610i, +0.02168640-0.01969664i, +0.03427818+0.00000000i, +0.00435375+0.01346566i, +0.02054017+0.01875990i, +0.00053871+0.00337746i, +0.02561209+0.00767754i, -0.01213751+0.02048516i, +0.01876713+0.01552795i, +0.02428011-0.00615262i, -0.05686367+0.00254246i, -0.00673216+0.00766356i, -0.04016870-0.02359619i, +0.00899919-0.01067534i, -0.03519368-0.01595929i
-0.01154385-0.01345477i, -0.01953069-0.00471286i, -0.00708418-0.00125937i, +0.00322833+0.00813226i, -0.01092498+0.00946013i, -0.01439758-0.01009899i, +0.00791798-0.00580774i, +0.01960903-0.00435145i, +0.00441240+0.00269878i, +0.01661067+0.01023687i, -0.01144278-0.00365635i, +0.00568978-0.00334914i, -0.01008995-0.00749086i, -0.00640601-0.01316352i, -0.00822151+0.00795124i, +0.01031558-0.00722223i, +0.01727090-0.01177325i, -0.00095848+0.01071603i, -0.00498309-0.01102089i, +0.00435375-0.01346566i, +0.00584276+0.00000000i, +0.00997839-0.00568616i, +0.00139521+0.00021735i, +0.00626905-0.00908618i, +0.00650567+0.00736990i, +0.00848358-0.00540014i, +0.00066691-0.01031953i, -0.00622362+0.02266095i, +0.00215544+0.00361799i, -0.01437132+0.01278266i, -0.00305064-0.00489110i, -0.01073939+0.01179828i
