+0.00664288+0.00000000i, +0.01209064+0.02361375i, +0.01050857+0.00638390i, +0.00665020-0.00561912i, +0.00052677+0.00658712i, -0.00532281+0.00025931i, +0.00388019-0.01707982i, +0.01103272+0.00075544i, +0.01873763-0.00416942i, +0.00191546+0.01544366i, +0.00958017+0.00401868i, +0.00084593+0.00299898i, -0.00600534+0.00596141i, -0.00972604+0.01031873i, +0.01253163+0.00901818i, +0.00034624+0.00884824i, +0.01029899+0.00516241i, +0.00550165-0.00026155i, -0.01142178+0.00472524i, +0.01947541+0.01636235i, -0.00057116-0.02142079i, -0.00427442-0.00027354i, +0.00206197+0.00759045i, +0.00045946+0.01850993i, -0.01325429-0.01273693i, +0.00871542+0.01418220i, +0.01053032+0.00173196i, +0.00538121-0.00821128i, +0.00798785-0.00731594i, +0.00443013+0.00315789i, -0.01930773+0.01466332i, +0.01320871-0.01641777i
+0.01209064-0.02361375i, +0.10594698+0.00000000i, +0.04181971-0.02573603i, -0.00787057-0.03386708i, +0.02437433+0.01011661i, -0.00876622+0.01939322i, -0.05365212-0.04487993i, +0.02276596-0.03784354i, +0.01928296-0.07419627i, +0.05838462+0.02129991i, +0.03172219-0.02674073i, +0.01220028+0.00245137i, +0.01026103+0.03219775i, +0.01897819+0.05335462i, +0.05486606-0.02813287i, +0.03208342+0.01487381i, +0.03709616-0.02721422i, +0.00908378-0.02003302i, -0.00399164+0.04920192i, +0.09361105-0.03944918i, -0.07718503-0.03695744i, -0.00875218+0.01469662i, +0.03073510+0.00648554i, +0.06663436+0.03205650i, -0.06940057+0.02393326i, +0.06627698-0.00516820i, +0.02532283-0.03428030i, -0.01939474-0.03407411i, -0.01146770-0.04171045i, +0.01928875-0.01000032i, +0.01698258+0.09532266i, -0.03431994-0.07683546i
+0.01050857-0.00638390i, +0.04181971+0.02573603i, +0.02275885+0.00000000i, +0.00512010-0.01527999i, +0.00716364+0.00991413i, -0.00817112+0.00552551i, -0.01027575-0.03074800i, +0.01817898-0.00940754i, +0.02563476-0.02460287i, +0.01787170+0.02259002i, +0.01901718-0.00284941i, +0.00422026+0.00393123i, -0.00377103+0.01520174i, -0.00546947+0.02567037i, +0.02849077+0.00222306i, +0.00905100+0.01366455i, +0.02125343-0.00173089i, +0.00845188-0.00570091i, -0.01352744+0.01845150i, +0.04653320+0.00716796i, -0.02148922-0.03333729i, -0.00702471+0.00367506i, +0.01055642+0.01002598i, +0.01851513+0.02883987i, -0.03320773-0.00741138i, +0.02741648+0.01405961i, +0.01832267-0.00737995i, +0.00062154-0.01816109i, +0.00560550-0.01924974i, +0.01004293+0.00073815i, -0.01645182+0.04175136i, +0.00511756-0.03866552i
+0.00665020+0.00561912i, -0.00787057+0.03386708i, +0.00512010+0.01527999i, +0.01141066+0.00000000i, -0.00504460+0.00703997i, -0.00554803-0.00424290i, +0.01833205-0.01381644i, +0.01040586+0.01008869i, +0.02228514+0.01167588i, -0.01114601+0.01708094i, +0.00619138+0.01212685i, -0.00168994+0.00371784i, -0.01105462+0.00088814i, -0.01846522+0.00210298i, +0.00491709+0.01962845i, -0.00713798+0.00915086i, +0.00594352+0.01387987i, +0.00572895+0.00439194i, -0.01543139-0.00493108i, +0.00565619+0.03285436i, +0.01754775-0.02192753i, -0.00404775-0.00388951i, -0.00435642+0.00934300i, -0.01519732+0.01891897i, -0.00249490-0.02396258i, -0.00327150+0.02157008i, +0.00907688+0.01064132i, +0.01233295-0.00366844i, +0.01418510-0.00056719i, +0.00176379+0.00690876i, -0.03173250-0.00165265i, +0.02711083-0.00526279i
+0.00052677-0.00658712i, +0.02437433-0.01011661i, +0.00716364-0.00991413i, -0.00504460-0.00703997i, +0.00657361-0.00000000i, -0.00016496+0.00529870i, -0.01662876-0.00520204i, +0.00162399-0.01088021i, -0.00264855-0.01891099i, +0.01546593-0.00067471i, +0.00474465-0.00918109i, +0.00304089-0.00060101i, +0.00543515+0.00642767i, +0.00946085+0.01046267i, +0.00993623-0.01171131i, +0.00880142+0.00035833i, +0.00593578-0.00980317i, +0.00017692-0.00547621i, +0.00377985+0.01170062i, +0.01776940-0.01801442i, -0.02128628-0.00113228i, -0.00061020+0.00421685i, +0.00769025-0.00144274i, +0.01839100+0.00101222i, -0.01368108+0.01213301i, +0.01475429-0.00751763i, +0.00255247-0.01030459i, -0.00771563-0.00598719i, -0.00662110-0.00850095i, +0.00348269-0.00414252i, +0.01300916+0.02030846i, -0.01523252-0.01439976i
-0.00532281-0.00025931i, -0.00876622-0.01939322i, -0.00817112-0.00552551i, -0.00554803+0.00424290i, -0.00016496-0.00529870i, +0.00427519+0.00000000i, -0.00377585+0.01353427i, -0.00881082-0.00103599i, -0.01517687+0.00260944i, -0.00093196-0.01244949i, -0.00751954-0.00359406i, -0.00056076-0.00243605i, +0.00504467-0.00454234i, +0.00819609-0.00788854i, -0.00968933-0.00771528i, +0.00006797-0.00710344i, -0.00805086-0.00453857i, -0.00441858-0.00000519i, +0.00933651-0.00334039i, -0.01496656-0.01387108i, -0.00037851+0.01718637i, +0.00341433+0.00038603i, -0.00135592-0.00616258i, +0.00035439-0.01484959i, +0.01012321+0.01072325i, -0.00642989-0.01170414i, -0.00837014-0.00179885i, -0.00463239+0.00636949i, -0.00668610+0.00555031i, -0.00342651-0.00270329i, +0.01604331-0.01099575i, -0.01122477+0.01263963i
+0.00388019+0.01707982i, -0.05365212+0.04487993i, -0.01027575+0.03074800i, +0.01833205+0.01381644i, -0.01662876+0.00520204i, -0.00377585-0.01353427i, +0.04618119-0.00000000i, +0.00450200+0.02880800i, +0.02166510+0.04574179i, -0.03858909+0.01394577i, -0.00473672+0.02697940i, -0.00721671+0.00392674i, -0.01883545-0.01195847i, -0.03221207-0.01897976i, -0.01586717+0.03748830i, -0.02254787+0.00605859i, -0.00725755+0.02949564i, +0.00388606+0.01399278i, -0.01882091-0.02660701i, -0.03069417+0.05963161i, +0.05474236-0.01398070i, -0.00179344-0.01114994i, -0.01831174+0.00973530i, -0.04732337+0.01199322i, +0.02500652-0.04151853i, -0.03137373+0.03069263i, +0.00169777+0.02808666i, +0.02425564+0.00903956i, +0.02347616+0.01626459i, -0.00553172+0.01323507i, -0.04897946-0.04107796i, +0.04992787+0.02437171i
+0.01103272-0.00075544i, +0.02276596+0.03784354i, +0.01817898+0.00940754i, +0.01040586-0.01008869i, +0.00162399+0.01088021i, -0.00881082+0.00103599i, +0.00450200-0.02880800i, +0.01840942+0.00000000i, +0.03064594-0.00905560i, +0.00493754+0.02543153i, +0.01636809+0.00558489i, +0.00174599+0.00488461i, -0.00929592+0.01058384i, -0.01497986+0.01824376i, +0.02183852+0.01355257i, +0.00158128+0.01465607i, +0.01769198+0.00740269i, +0.00910759-0.00106004i, -0.01843232+0.00914675i, +0.03420618+0.02496037i, -0.00338462-0.03551141i, -0.00713021+0.00003180i, +0.00428779+0.01237199i, +0.00286807+0.03068966i, -0.02346164-0.01964662i, +0.01608769+0.02256314i, +0.01768608+0.00167897i, +0.00800349-0.01424954i, +0.01243450-0.01305895i, +0.00771683+0.00474093i, -0.03039938+0.02654906i, +0.02007041-0.02876930i
+0.01873763+0.00416942i, +0.01928296+0.07419627i, +0.02563476+0.02460287i, +0.02228514-0.01167588i, -0.00264855+0.01891099i, -0.01517687-0.00260944i, +0.02166510-0.04574179i, +0.03064594+0.00905560i, +0.05547038-0.00000000i, -0.00429032+0.04476434i, +0.02450056+0.01734856i, +0.00050379+0.00899021i, -0.02068101+0.01304613i, -0.03391090+0.02300156i, +0.02968781+0.03330318i, -0.00457699+0.02517562i, +0.02581025+0.02102586i, +0.01568272+0.00271538i, -0.03518335+0.00615963i, +0.04466461+0.05837725i, +0.01183374-0.06078031i, -0.01188521-0.00345442i, +0.00105204+0.02270466i, -0.01032181+0.05249951i, -0.02939213-0.04424628i, +0.01568216+0.04547413i, +0.02861591+0.01149475i, +0.02033266-0.01978411i, +0.02712327-0.01562254i, +0.01051404+0.01168809i, -0.06366497+0.02924243i, +0.04756261-0.03801927i
+0.00191546-0.01544366i, +0.05838462-0.02129991i, +0.01787170-0.02259002i, -0.01114601-0.01708094i, +0.01546593+0.00067471i, -0.00093196+0.01244949i, -0.03858909-0.01394577i, +0.00493754-0.02543153i, -0.00429032-0.04476434i, +0.03645645+0.00000000i, +0.01210523-0.02111365i, +0.00721609-0.00110190i, +0.01212772+0.01568043i, +0.02118497+0.02558690i, +0.02457933-0.02653374i, +0.02067061+0.00174642i, +0.01497150-0.02245498i, +0.00097833-0.01286590i, +0.00769202+0.02791639i, +0.04365562-0.04055927i, -0.04996470-0.00484876i, -0.00186845+0.00985849i, +0.01824119-0.00260507i, +0.04316520+0.00426912i, -0.03343323+0.02714150i, +0.03548449-0.01617259i, +0.00706293-0.02398196i, -0.01753830-0.01487818i, -0.01470515-0.02068004i, +0.00861903-0.00938879i, +0.02852263+0.04911561i, -0.03436007-0.03544223i
+0.00958017-0.00401868i, +0.03172219+0.02674073i, +0.01901718+0.00284941i, +0.00619138-0.01212685i, +0.00474465+0.00918109i, -0.00751954+0.00359406i, -0.00473672-0.02697940i, +0.01636809-0.00558489i, +0.02450056-0.01734856i, +0.01210523+0.02111365i, +0.01624741-0.00000000i, +0.00303424+0.00381330i, -0.00505431+0.01223037i, -0.00778419+0.02076525i, +0.02352842+0.00542462i, +0.00585217+0.01255122i, +0.01797597+0.00121460i, +0.00777610-0.00370548i, -0.01361359+0.01372435i, +0.03798548+0.01181547i, -0.01378245-0.03054693i, -0.00632993+0.00219137i, +0.00756564+0.00969933i, +0.01186040+0.02641655i, -0.02682031-0.01035052i, +0.02114881+0.01518069i, +0.01623431-0.00387265i, +0.00279312-0.01509750i, +0.00709399-0.01538318i, +0.00829941+0.00187417i, -0.01897433+0.03282746i, +0.00911713-0.03166800i
